n_candidates,perm,optimism,observed
4,27,0.013029969198391722,0.013972674265792184
4,28,0.01419378677097971,0.013972674265792184
4,29,0.011761829742913954,0.013972674265792184
4,30,0.01255413010647366,0.013972674265792184
4,31,0.010875553380062408,0.013972674265792184
4,32,0.011261860081803632,0.013972674265792184
4,33,0.01246472389382558,0.013972674265792184
4,34,0.011257778624027326,0.013972674265792184
4,35,0.019168209728644747,0.013972674265792184
4,36,0.01531510477234499,0.013972674265792184
4,37,0.010742710776920128,0.013972674265792184
4,38,0.011947654395174312,0.013972674265792184
4,39,0.01814548414215056,0.013972674265792184
4,40,0.012170224714353806,0.013972674265792184
4,41,0.01294028403531855,0.013972674265792184
4,42,0.015227563301063896,0.013972674265792184
4,43,0.013112583714195658,0.013972674265792184
4,44,0.013401242334573737,0.013972674265792184
4,45,0.013492802769899281,0.013972674265792184
4,46,0.014796399088708667,0.013972674265792184
4,47,0.014062093329549441,0.013972674265792184
4,48,0.014175701119218176,0.013972674265792184
4,49,0.013080107672486796,0.013972674265792184
4,50,0.013857337179379092,0.013972674265792184
4,51,0.01190890034965908,0.013972674265792184
4,52,0.015280667695943828,0.013972674265792184
4,53,0.01710280101606987,0.013972674265792184
4,54,0.014855997810199861,0.013972674265792184
4,55,0.014265923911282785,0.013972674265792184
4,56,0.014518752155979198,0.013972674265792184
4,57,0.011282730610357117,0.013972674265792184
4,58,0.015027236347610162,0.013972674265792184
4,59,0.01492149907804885,0.013972674265792184
4,60,0.018158756405442844,0.013972674265792184
4,61,0.01711713782750668,0.013972674265792184
4,62,0.011726347974473361,0.013972674265792184
4,63,0.012470968367979673,0.013972674265792184
4,64,0.015998805364618507,0.013972674265792184
4,65,0.012032470675991891,0.013972674265792184
4,66,0.018636842131739106,0.013972674265792184
4,67,0.010865003855977107,0.013972674265792184
4,68,0.012785311316532266,0.013972674265792184
4,69,0.01489995403306188,0.013972674265792184
4,70,0.012742743359988706,0.013972674265792184
4,71,0.011233098987092127,0.013972674265792184
4,72,0.010991391268520001,0.013972674265792184
4,73,0.009097877291366019,0.013972674265792184
4,74,0.014874748418788442,0.013972674265792184
4,75,0.01365369041117026,0.013972674265792184
4,76,0.018423562251522974,0.013972674265792184
4,77,0.01163836061611867,0.013972674265792184
4,78,0.010266129867164908,0.013972674265792184
4,79,0.012279109702481694,0.013972674265792184
4,80,0.01212210278868564,0.013972674265792184
4,81,0.014247970985563185,0.013972674265792184
4,82,0.010992323749497546,0.013972674265792184
4,83,0.016609891110297426,0.013972674265792184
4,84,0.014260161066008026,0.013972674265792184
4,85,0.017053727893028725,0.013972674265792184
4,86,0.010771118529757984,0.013972674265792184
4,87,0.012936648790119798,0.013972674265792184
4,88,0.012531799531921295,0.013972674265792184
4,89,0.018540526132928337,0.013972674265792184
4,90,0.011320525460090436,0.013972674265792184
4,91,0.010432389538326703,0.013972674265792184
4,92,0.014370505275513867,0.013972674265792184
4,93,0.011448006914733355,0.013972674265792184
4,94,0.014349254150156643,0.013972674265792184
4,95,0.014714216810658654,0.013972674265792184
4,96,0.015342822413264345,0.013972674265792184
4,97,0.014271936184969136,0.013972674265792184
4,98,0.01308080449606741,0.013972674265792184
4,99,0.011158930111647258,0.013972674265792184
8,0,0.025630740375464256,0.01735239768017116
8,1,0.023363528506871734,0.01735239768017116
8,2,0.020358150621981985,0.01735239768017116
8,3,0.02220649621844828,0.01735239768017116
8,4,0.01727415949895661,0.01735239768017116
8,5,0.016411407960119972,0.01735239768017116
8,6,0.024552033972687237,0.01735239768017116
8,7,0.01923691642727121,0.01735239768017116
8,8,0.021741971286863504,0.01735239768017116
8,9,0.020631446373170603,0.01735239768017116
8,10,0.02311699082087315,0.01735239768017116
8,11,0.018384813686498025,0.01735239768017116
8,12,0.02518480751603458,0.01735239768017116
8,13,0.01927344375754758,0.01735239768017116
8,14,0.023183684389644688,0.01735239768017116
8,15,0.017148476789064837,0.01735239768017116
8,16,0.020419172433748134,0.01735239768017116
8,17,0.017492647475062184,0.01735239768017116
8,18,0.02441445155317734,0.01735239768017116
8,19,0.021636332183736617,0.01735239768017116
8,20,0.023377915837935026,0.01735239768017116
8,21,0.019766706727688876,0.01735239768017116
8,22,0.019902014989432337,0.01735239768017116
8,23,0.019665679526583713,0.01735239768017116
8,24,0.021899285673745106,0.01735239768017116
8,25,0.017736160948202406,0.01735239768017116
8,26,0.018012414168975255,0.01735239768017116
8,27,0.018529410355868303,0.01735239768017116
8,28,0.020760149343540646,0.01735239768017116
8,29,0.01819266501925898,0.01735239768017116
8,30,0.019743867582993513,0.01735239768017116
8,31,0.01653121546209846,0.01735239768017116
8,32,0.016217983359036015,0.01735239768017116
8,33,0.017948330016418934,0.01735239768017116
8,34,0.017677529738856834,0.01735239768017116
8,35,0.023370362262606248,0.01735239768017116
8,36,0.01645781634573329,0.01735239768017116
8,37,0.016306462589787407,0.01735239768017116
8,38,0.023438136524964737,0.01735239768017116
8,39,0.022950608488994884,0.01735239768017116
8,40,0.022253610769141896,0.01735239768017116
8,41,0.019499088126566977,0.01735239768017116
8,42,0.019424586736200844,0.01735239768017116
8,43,0.016993495070846687,0.01735239768017116
8,44,0.0217246918512628,0.01735239768017116
8,45,0.018191910157122737,0.01735239768017116
8,46,0.02150910241749371,0.01735239768017116
