a,b,axis,condition,n_seeds,delta,ci_lo,ci_hi,p_sign,n_reps
queryseq,uniform,avail,T1ax+FLAIRax+FLAIRsag,3,0.001012002011163079,-0.00010125644024050695,0.002135973957153723,0.9605,2000
queryseq,uniform,avail,T1ax+T2ax+SWIax,3,-0.00010693069155322099,-0.0012957995817395242,0.0010950102377013896,0.4375,2000
queryseq,uniform,avail,T1ax+T2ax+FLAIRsag,3,-7.952630866080324e-05,-0.0011050891168110034,0.0009452638137494178,0.4375,2000
queryseq,uniform,avail,T1ax+T2ax+FLAIRax,3,0.001493692272380757,0.0004838012511432139,0.0024838757927935677,0.9985,2000
queryseq,uniform,avail,T2ax+FLAIRax+FLAIRsag+SWIax,3,0.0011410223913993335,4.536443933018722e-06,0.0024478194699903166,0.9755,2000
queryseq,uniform,avail,T1ax+FLAIRax+FLAIRsag+SWIax,3,0.0011132396160777015,6.826152438873295e-06,0.002330368145753734,0.976,2000
queryseq,uniform,avail,T1ax+T2ax+FLAIRsag+SWIax,3,-2.3282157656271747e-05,-0.0011531634361455676,0.001161412508259615,0.5005,2000
queryseq,uniform,avail,T1ax+T2ax+FLAIRax+SWIax,3,0.001308683864864904,0.00020494731250493404,0.0024404289841534602,0.993,2000
queryseq,uniform,avail,T1ax+T2ax+FLAIRax+FLAIRsag,3,0.0008636553342242009,-0.00016335259357187236,0.0018924621296312492,0.952,2000
queryseq,uniform,avail,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,3,0.0008683733593986306,-0.00012456068894209002,0.0019471207482610997,0.9555,2000
queryseq,uniform,budget,1,3,0.0001510299202526643,-0.010207447754400469,0.00896135744150687,0.537,2000
queryseq,uniform,budget,2,3,0.007149416743873708,-0.005006944138954329,0.018231216450713586,0.8855,2000
queryseq,uniform,budget,3,3,0.002531652159281053,-0.006299113154853244,0.011161923138087212,0.73,2000
queryseq,uniform,budget,4,3,0.0021334085029924474,-0.0031955243682013743,0.007581758919991753,0.7805,2000
queryseq,uniform,budget,5,3,0.0002555775018345067,-0.0006915513948384591,0.0012863079763743368,0.7055,2000
queryseq,patient,avail,SWIax,3,0.0001411679578842541,-0.0007270388069851266,0.0010808494635898766,0.6275,2000
queryseq,patient,avail,FLAIRsag,3,0.0005361538022464721,-0.000458073981406057,0.0015724301728850644,0.8655,2000
queryseq,patient,avail,FLAIRax,3,0.0012544932194483345,0.0002989599325634462,0.0021889857334651823,0.9965,2000
queryseq,patient,avail,T2ax,3,0.000533193251083083,-0.00040965900384820847,0.0014392744053899904,0.8855,2000
queryseq,patient,avail,T1ax,3,0.0004002330729007871,-0.0003982662861015554,0.0012633183514843898,0.836,2000
queryseq,patient,avail,FLAIRsag+SWIax,3,0.0002734930755810149,-0.0007517207652611741,0.0013994811430838982,0.7175,2000
queryseq,patient,avail,FLAIRax+SWIax,3,0.000862670995393845,-0.00015088186592454784,0.0021031843285059843,0.9455,2000
queryseq,patient,avail,FLAIRax+FLAIRsag,3,0.0011433312632731444,-1.1891079500252376e-05,0.0023245728722492993,0.9735,2000
queryseq,patient,avail,T2ax+SWIax,3,0.000464027160165692,-0.0007610819114869774,0.0017157802712764972,0.774,2000
queryseq,patient,avail,T2ax+FLAIRsag,3,0.0006040666160420124,-0.0004306347457104766,0.0016753247646821609,0.8805,2000
queryseq,patient,avail,T2ax+FLAIRax,3,0.0011872480771354511,0.00024765738194859827,0.0021497029199099007,0.9945,2000
queryseq,patient,avail,T1ax+SWIax,3,0.0007741849447385887,-0.00039625307703067167,0.0021505342522016306,0.89,2000
queryseq,patient,avail,T1ax+FLAIRsag,3,0.0007118308678181628,-0.00017255352688209762,0.0016831102951710719,0.9405,2000
queryseq,patient,avail,T1ax+FLAIRax,3,0.0010741643913042029,0.00013649599638834232,0.002123302075307727,0.9875,2000
queryseq,patient,avail,T1ax+T2ax,3,0.00042422876117172934,-0.0005521012959753016,0.001396679829575394,0.8105,2000
queryseq,patient,avail,FLAIRax+FLAIRsag+SWIax,3,0.0006456369996956213,-0.00043022174575894977,0.0017906568219474431,0.874,2000
queryseq,patient,avail,T2ax+FLAIRsag+SWIax,3,0.00041381242442352513,-0.0007311238421049581,0.0015695139966259853,0.757,2000
queryseq,patient,avail,T2ax+FLAIRax+SWIax,3,0.000967353835603316,-9.721445659773379e-05,0.0021016709675877464,0.961,2000
queryseq,patient,avail,T2ax+FLAIRax+FLAIRsag,3,0.0009958664668789086,-1.7295145365377097e-05,0.002051221949459177,0.974,2000
queryseq,patient,avail,T1ax+FLAIRsag+SWIax,3,0.0007080884889744708,-0.0003191007531244182,0.0018388001997692324,0.9135,2000
queryseq,patient,avail,T1ax+FLAIRax+SWIax,3,0.0007566721738600945,-0.00025858513278642804,0.001968842883297855,0.9195,2000
queryseq,patient,avail,T1ax+FLAIRax+FLAIRsag,3,0.0008922541563426177,-3.712053842753433e-05,0.0018862663350237398,0.966,2000
queryseq,patient,avail,T1ax+T2ax+SWIax,3,0.0006960677775455781,-0.00043087328771770553,0.0019033972316763834,0.8905,2000
queryseq,patient,avail,T1ax+T2ax+FLAIRsag,3,0.0006894833873374769,-0.0002856500793483792,0.0016432576127227675,0.918,2000
queryseq,patient,avail,T1ax+T2ax+FLAIRax,3,0.0012022111621193298,0.00013636111410364864,0.002210526265273784,0.9885,2000
queryseq,patient,avail,T2ax+FLAIRax+FLAIRsag+SWIax,3,0.0008540393951103157,-0.00023605595517738677,0.002001161900127058,0.9415,2000
queryseq,patient,avail,T1ax+FLAIRax+FLAIRsag+SWIax,3,0.0009572519372169877,-5.7623435918678637e-05,0.002113574831557499,0.9665,2000
queryseq,patient,avail,T1ax+T2ax+FLAIRsag+SWIax,3,0.0004925494817485264,-0.0006283141192771023,0.0016075356962182712,0.814,2000
queryseq,patient,avail,T1ax+T2ax+FLAIRax+SWIax,3,0.0007964300446498973,-0.0002917186608736108,0.001882923496729806,0.931,2000
queryseq,patient,avail,T1ax+T2ax+FLAIRax+FLAIRsag,3,0.001036299913353408,3.314205755293053e-05,0.0020795853289924345,0.9765,2000
queryseq,patient,avail,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,3,0.0006987724374384113,-0.000311286838452097,0.0017602309527269433,0.916,2000
queryseq,patient,budget,1,3,0.0006888736908305846,-0.009103265549522536,0.009251807630456289,0.5725,2000
queryseq,patient,budget,2,3,0.004053163903534592,0.0004256487483143665,0.0075278529394816815,0.9825,2000
queryseq,patient,budget,3,3,-5.202915086386132e-05,-0.0048291868683416105,0.004298037327182655,0.5205,2000
queryseq,patient,budget,4,3,0.0021585705947292245,-0.0007577996771433447,0.005254731676858294,0.93,2000
queryseq,patient,budget,5,3,0.0005285607291262952,-0.0003202919670741816,0.001442804985636892,0.889,2000
queryseq,finding,avail,SWIax,3,-0.0006452996512192641,-0.0016097347740334585,0.0003247168953761358,0.093,2000
queryseq,finding,avail,FLAIRsag,3,-0.0001867166400301496,-0.001282961057758571,0.0009256877572190491,0.3835,2000
queryseq,finding,avail,FLAIRax,3,0.001960529914154932,0.0010318903233177946,0.002924123475094792,1.0,2000
queryseq,finding,avail,T2ax,3,0.00019269916695740144,-0.000626009078844913,0.0009834813234472274,0.6865,2000
queryseq,finding,avail,T1ax,3,-0.00048103182253841453,-0.0013655527756342841,0.0004490543081057968,0.168,2000
queryseq,finding,avail,FLAIRsag+SWIax,3,-0.0009434815527543444,-0.002173030386065804,0.00031446618002544145,0.073,2000
queryseq,finding,avail,FLAIRax+SWIax,3,0.0017711933680663627,0.0005785614146596266,0.0029895260304321192,0.999,2000
queryseq,finding,avail,FLAIRax+FLAIRsag,3,0.001264713192125119,0.00012751491136308812,0.0024672032472863167,0.9875,2000
queryseq,finding,avail,T2ax+SWIax,3,-0.0004972957417259456,-0.0015595768783627012,0.0005772024339240182,0.182,2000
queryseq,finding,avail,T2ax+FLAIRsag,3,-0.00035634314940619386,-0.0014003607642461937,0.0007405582262583118,0.27,2000
queryseq,finding,avail,T2ax+FLAIRax,3,0.0012300968292373747,0.00030849579517750587,0.0021942757604592137,0.994,2000
queryseq,finding,avail,T1ax+SWIax,3,-0.0005606704387412077,-0.0016165670664318797,0.0005327208329654602,0.1615,2000
queryseq,finding,avail,T1ax+FLAIRsag,3,0.00025445110809554304,-0.0008331425981095777,0.0013662865835075365,0.6905,2000
queryseq,finding,avail,T1ax+FLAIRax,3,0.0018014521395697937,0.000835265540449752,0.002710859395727914,1.0,2000
