subset,k,finding,n_pos,auroc_mean,auroc_sd_seed,ci_lo,ci_hi
FLAIRax,1,Foraminal Spinal Stenosis,60,0.6648240413348095,0.008001285688854392,0.59176496039662,0.7279780412780913
FLAIRax,1,Lipoma of brain,22,0.48253072826224036,0.04320262871376833,0.39691719717373125,0.6541711067642343
FLAIRax,1,Glioma,66,0.7628509822141215,0.012756505129402525,0.6700832137474358,0.8163501287638261
FLAIRax,1,Pituitary adenoma,25,0.4949338172502135,0.02960531593562537,0.4082356740438444,0.6436890743830699
T2ax,1,Cerebral infarction,424,0.8009783085835137,0.0038782148152125013,0.7717073817827891,0.820046899925615
T2ax,1,Cerebral hemorrhage,294,0.7877010605685658,0.0024836075877776023,0.7610492732377676,0.8209613516949263
T2ax,1,Metastatic malignant neoplasm to brain,373,0.8579214792269786,0.001232146331294436,0.8374304324945301,0.8748200340292352
T2ax,1,Intracranial meningioma,181,0.7010761045925364,0.01378531890695182,0.6709487645574735,0.7507669158471253
T2ax,1,Demyelinating disease of central nervous system,250,0.831138284297641,0.006732242365874999,0.8069831886054372,0.8609306352668135
T2ax,1,Herniation of nucleus pulposus,138,0.7049332258056097,0.00846596008911397,0.6612357430951067,0.7437625242125636
T2ax,1,Spinal cord compression,74,0.577164835186082,0.03567571475594654,0.4995354968861627,0.6233080019969988
T2ax,1,Lacunar infarct,213,0.8061372105788934,0.0036775631327622634,0.7705409140351233,0.8310343262681329
T2ax,1,Silent micro-hemorrhage of brain,195,0.7365771637461136,0.003300360574100049,0.6922879805354327,0.7692887728300628
T2ax,1,Cavernous hemangioma,78,0.45997082180657056,0.009866722626953544,0.38747517255781044,0.526597362334286
T2ax,1,Subdural intracranial hemorrhage,44,0.7847339044525911,0.0069435114470598625,0.7091563606800286,0.8411139243991878
T2ax,1,Gliosis,3534,0.7767997462470811,0.001157467627886101,0.765553682362411,0.7861236965942491
T2ax,1,Cerebral atrophy,1310,0.9176716187871445,0.0012765118224731561,0.9077087166950976,0.9248972374430324
T2ax,1,Encephalomalacia,236,0.7424859898481543,0.00536914439126754,0.707468895783975,0.7797864175871909
T2ax,1,Arachnoid cyst,389,0.7225663201387788,0.0036015881583840005,0.694605863082186,0.7496222446538378
T2ax,1,Empty sella syndrome,351,0.7188600501658086,0.006606586401268588,0.7033320330523435,0.7535460421619361
T2ax,1,Intracranial aneurysm,61,0.6890750200848365,0.001981595516675779,0.6058067165552679,0.7631820239235249
T2ax,1,Chiari malformation,56,0.7920230317681319,0.0182395351257671,0.7504522033886571,0.8616953688332786
T2ax,1,Schwannoma,38,0.6771503183399439,0.0363259201680738,0.5718896415424746,0.6903061555084857
T2ax,1,Cyst of pineal gland,103,0.619126596786049,0.014334425024618985,0.5655129674984775,0.671092860793312
T2ax,1,Hemangioma of vertebral column,31,0.6452635109215245,0.02689728867056183,0.5471379312227826,0.7082374055589875
T2ax,1,Cerebral edema,533,0.8756858123799157,0.002915190939439952,0.8616924224630758,0.8929106695939953
T2ax,1,Spinal stenosis,43,0.6383530240848981,0.02639246538984261,0.5134285585706382,0.6848845421269136
T2ax,1,Mastoiditis,265,0.74988224772488,0.0039239135657955304,0.7107346553089863,0.7737646358562912
T2ax,1,Chronic mastoiditis,211,0.7971514602200954,0.0029053278431315126,0.7753292245772554,0.8271273394000348
T2ax,1,Ventriculomegaly,889,0.8944866942784552,0.0025960606179553846,0.879130931429953,0.9030460433932664
T2ax,1,Cerebellar degeneration,351,0.8315345628808727,0.003434469105386075,0.8093451276080047,0.8529281578301745
T2ax,1,Mega cisterna magna,104,0.7623189890993207,0.017817396253601587,0.7013474150836858,0.7961773489821081
T2ax,1,Structure of cave of septum pellucidum,99,0.6995067235006981,0.008210548228545465,0.6340982508518628,0.746458787020813
T2ax,1,Hyperostosis of skull,34,0.7536564363965481,0.003153141289553332,0.6672804485495911,0.832195414235479
T2ax,1,Watershed infarct,36,0.8514881906593993,0.005419950005137777,0.8121996071995571,0.8951310710186355
T2ax,1,Foraminal Spinal Stenosis,60,0.6906910365846399,0.030684904830486578,0.675350144896225,0.7881083341454422
T2ax,1,Lipoma of brain,22,0.599754885316725,0.02568568871737643,0.4948708384723985,0.6975752920417242
T2ax,1,Glioma,66,0.7534089690731697,0.012304171652486755,0.6651713827211113,0.8019809206544783
T2ax,1,Pituitary adenoma,25,0.43949117563336176,0.03735969377239431,0.34795511524472145,0.641012638846111
T1ax,1,Cerebral infarction,424,0.7858835131630894,0.0026171059632235484,0.7619213574801347,0.8108917579389473
T1ax,1,Cerebral hemorrhage,294,0.8015244380347296,0.0023422542139990904,0.7703957366954735,0.8278050062552357
T1ax,1,Metastatic malignant neoplasm to brain,373,0.8504581220562389,0.0007151445209811887,0.8276546955804298,0.8714318213506655
T1ax,1,Intracranial meningioma,181,0.7167210836374046,0.004065703397300041,0.6731426208316158,0.7503196154405075
T1ax,1,Demyelinating disease of central nervous system,250,0.7832891465237521,0.0008950316859317927,0.7521719577208614,0.8116686913003807
T1ax,1,Herniation of nucleus pulposus,138,0.7204962978622341,0.006985901884383582,0.6694381901857227,0.7485807292839379
T1ax,1,Spinal cord compression,74,0.6197002346267289,0.005171139283867385,0.5496260728248572,0.6788467137577692
