C,seed,subset,subset_bits,k,finding,finding_idx,n_pos,n,auroc,auprc
0.1,1,FLAIRsag,0001,1,Schwannoma,18,38,9393,0.7078342569411236,0.008641672463229054
0.1,1,FLAIRsag,0001,1,Cyst of pineal gland,19,103,9393,0.6491142997481372,0.019281688282194016
0.1,1,FLAIRsag,0001,1,Hemangioma of vertebral column,20,31,9393,0.5316619691132994,0.004522995579752236
0.1,1,FLAIRsag,0001,1,Cerebral edema,22,533,9393,0.886470381460196,0.5035008018667161
0.1,1,FLAIRsag,0001,1,Spinal stenosis,23,43,9393,0.6045218256435767,0.008316343599084317
0.1,1,FLAIRsag,0001,1,Mastoiditis,24,265,9393,0.6820680303606568,0.06311532020274559
0.1,1,FLAIRsag,0001,1,Chronic mastoiditis,25,211,9393,0.7413453686947779,0.08090378607708554
0.1,1,FLAIRsag,0001,1,Ventriculomegaly,26,889,9393,0.8913829474279027,0.5546261567751642
0.1,1,FLAIRsag,0001,1,Cerebellar degeneration,27,351,9393,0.7987019738844556,0.15383416157035895
0.1,1,FLAIRsag,0001,1,Mega cisterna magna,28,104,9393,0.6983363283287927,0.03323244275341448
0.1,1,FLAIRsag,0001,1,Structure of cave of septum pellucidum,29,99,9393,0.6441018752187249,0.02057512032734681
0.1,1,FLAIRsag,0001,1,Hyperostosis of skull,30,34,9393,0.7750010999164064,0.017010518397701
0.1,1,FLAIRsag,0001,1,Watershed infarct,31,36,9393,0.8448131523636493,0.026530854829126482
0.1,1,FLAIRsag,0001,1,Foraminal Spinal Stenosis,33,60,9393,0.7373174041930068,0.014601324710479119
0.1,1,FLAIRsag,0001,1,Lipoma of brain,34,22,9393,0.5451780638526984,0.006080743174711194
0.1,1,FLAIRsag,0001,1,Glioma,35,66,9393,0.746361979395109,0.029847565645451792
0.1,1,FLAIRsag,0001,1,Pituitary adenoma,36,25,9393,0.6323697694278394,0.005526180072734701
0.1,1,FLAIRax,0010,1,Cerebral infarction,0,424,9393,0.8092757127800789,0.22172989359258807
0.1,1,FLAIRax,0010,1,Cerebral hemorrhage,1,294,9393,0.8278984085116626,0.20801066413105546
0.1,1,FLAIRax,0010,1,Metastatic malignant neoplasm to brain,2,373,9393,0.8906466416601773,0.29752259763341316
0.1,1,FLAIRax,0010,1,Intracranial meningioma,3,181,9393,0.7243500550567001,0.06743673043730278
0.1,1,FLAIRax,0010,1,Demyelinating disease of central nervous system,4,250,9393,0.8273013234168216,0.2652883741061035
0.1,1,FLAIRax,0010,1,Herniation of nucleus pulposus,5,138,9393,0.7005731332064923,0.031648606117468635
0.1,1,FLAIRax,0010,1,Spinal cord compression,6,74,9393,0.5954603063198407,0.01130319394692722
0.1,1,FLAIRax,0010,1,Lacunar infarct,7,213,9393,0.7971524133910214,0.11802843698351012
0.1,1,FLAIRax,0010,1,Silent micro-hemorrhage of brain,8,195,9393,0.6965031417086212,0.060148137510187494
0.1,1,FLAIRax,0010,1,Cavernous hemangioma,9,78,9393,0.47549444650893924,0.00918401451285806
0.1,1,FLAIRax,0010,1,Subdural intracranial hemorrhage,10,44,9393,0.8249910053578895,0.12065328477372493
0.1,1,FLAIRax,0010,1,Gliosis,11,3534,9393,0.781963242402843,0.684127510738286
0.1,1,FLAIRax,0010,1,Cerebral atrophy,12,1310,9393,0.9189349430951588,0.7195872777967027
0.1,1,FLAIRax,0010,1,Encephalomalacia,13,236,9393,0.7536236980877832,0.12644798333471086
0.1,1,FLAIRax,0010,1,Arachnoid cyst,14,389,9393,0.7183573938575143,0.11154982075607472
0.1,1,FLAIRax,0010,1,Empty sella syndrome,15,351,9393,0.6851417033898787,0.08252111564057599
0.1,1,FLAIRax,0010,1,Intracranial aneurysm,16,61,9393,0.6732185394166379,0.02334691709483298
0.1,1,FLAIRax,0010,1,Chiari malformation,17,56,9393,0.7804166220413409,0.022987824736468772
0.1,1,FLAIRax,0010,1,Schwannoma,18,38,9393,0.7724352302455765,0.011156778212626655
0.1,1,FLAIRax,0010,1,Cyst of pineal gland,19,103,9393,0.6302784077251873,0.016658691165053682
0.1,1,FLAIRax,0010,1,Hemangioma of vertebral column,20,31,9393,0.5468331139610367,0.004857935172456676
0.1,1,FLAIRax,0010,1,Cerebral edema,22,533,9393,0.9042332467950482,0.508234636565624
0.1,1,FLAIRax,0010,1,Spinal stenosis,23,43,9393,0.6038552418853376,0.007632042660080426
0.1,1,FLAIRax,0010,1,Mastoiditis,24,265,9393,0.6995014303904222,0.07941042732857144
0.1,1,FLAIRax,0010,1,Chronic mastoiditis,25,211,9393,0.7528964045665277,0.058539327292862944
0.1,1,FLAIRax,0010,1,Ventriculomegaly,26,889,9393,0.8943128199050376,0.5565841544922907
0.1,1,FLAIRax,0010,1,Cerebellar degeneration,27,351,9393,0.8062451201137333,0.156793570105897
