target_kind,seed,target,k,subset,n_pos,auroc
burden,0,NETC,1,T1c,672,0.8506820253874745
burden,0,ET,1,T1n,677,0.8124208302469
burden,0,SNFH,1,T1n,666,0.8361522106047653
burden,0,NETC,1,T1n,672,0.7940445508100147
burden,0,ET,2,T2w+T2f,677,0.8396092027578468
burden,0,SNFH,2,T2w+T2f,666,0.9129151048859079
burden,0,NETC,2,T2w+T2f,672,0.79887483343853
burden,0,ET,2,T1c+T2f,677,0.8861095161495338
burden,0,SNFH,2,T1c+T2f,666,0.892586747331273
burden,0,NETC,2,T1c+T2f,672,0.8220422189494355
burden,0,ET,2,T1c+T2w,677,0.899556868537666
burden,0,SNFH,2,T1c+T2w,666,0.8846255014138227
burden,0,NETC,2,T1c+T2w,672,0.8355665719896207
burden,0,ET,2,T1n+T2f,677,0.832747458897475
burden,0,SNFH,2,T1n+T2f,666,0.8828083558010567
burden,0,NETC,2,T1n+T2f,672,0.7814450522477032
burden,0,ET,2,T1n+T2w,677,0.8343429074858973
burden,0,SNFH,2,T1n+T2w,666,0.8739089454417922
burden,0,NETC,2,T1n+T2w,672,0.8096027070622063
burden,0,ET,2,T1n+T1c,677,0.885861870970287
burden,0,SNFH,2,T1n+T1c,666,0.8698537954012407
burden,0,NETC,2,T1n+T1c,672,0.8348367697594501
burden,0,ET,3,T1c+T2w+T2f,677,0.8837886644254414
burden,0,SNFH,3,T1c+T2w+T2f,666,0.8990574516121962
burden,0,NETC,3,T1c+T2w+T2f,672,0.821860316291465
burden,0,ET,3,T1n+T2w+T2f,677,0.8424845166974214
burden,0,SNFH,3,T1n+T2w+T2f,666,0.8944806119988602
burden,0,NETC,3,T1n+T2w+T2f,672,0.796650361175398
burden,0,ET,3,T1n+T1c+T2f,677,0.8727761243748603
burden,0,SNFH,3,T1n+T1c+T2f,666,0.8820565090638084
burden,0,NETC,3,T1n+T1c+T2f,672,0.8205760396942283
burden,0,ET,3,T1n+T1c+T2w,677,0.8837974306264764
burden,0,SNFH,3,T1n+T1c+T2w,666,0.8791236491966419
burden,0,NETC,3,T1n+T1c+T2w,672,0.8290816326530612
burden,0,ET,4,T1n+T1c+T2w+T2f,677,0.8749917816865294
burden,0,SNFH,4,T1n+T1c+T2w+T2f,666,0.8905262927160738
burden,0,NETC,4,T1n+T1c+T2w+T2f,672,0.820074163686093
burden,1,ET,1,T2f,677,0.8223770430727286
burden,1,SNFH,1,T2f,666,0.9053001907016506
burden,1,NETC,1,T2f,672,0.7704256960516165
burden,1,ET,1,T2w,677,0.8395807126044821
burden,1,SNFH,1,T2w,666,0.884434799763267
burden,1,NETC,1,T2w,672,0.799893926642822
burden,1,ET,1,T1c,677,0.9135104690355864
burden,1,SNFH,1,T1c,666,0.8541702286227835
burden,1,NETC,1,T1c,672,0.8430508801458727
burden,1,ET,1,T1n,677,0.8060236950413984
burden,1,SNFH,1,T1n,666,0.8303281383573355
burden,1,NETC,1,T1n,672,0.7848376463987656
burden,1,ET,2,T2w+T2f,677,0.8413777838167162
burden,1,SNFH,2,T2w+T2f,666,0.9025843361609784
burden,1,NETC,2,T2w+T2f,672,0.7917630969913738
burden,1,ET,2,T1c+T2f,677,0.8837623658223355
burden,1,SNFH,2,T1c+T2f,666,0.8803862256417
burden,1,NETC,2,T1c+T2f,672,0.8141853390840874
burden,1,ET,2,T1c+T2w,677,0.9019105935156411
burden,1,SNFH,2,T1c+T2w,666,0.872238662019684
burden,1,NETC,2,T1c+T2w,672,0.8241308121186619
burden,1,ET,2,T1n+T2f,677,0.8269530000131494
burden,1,SNFH,2,T1n+T2f,666,0.8781175335919862
burden,1,NETC,2,T1n+T2f,672,0.7806166280945368
burden,1,ET,2,T1n+T2w,677,0.8345357639086737
burden,1,SNFH,2,T1n+T2w,666,0.8649919992985686
burden,1,NETC,2,T1n+T2w,672,0.7988660670453749
burden,1,ET,2,T1n+T1c,677,0.8868436854862394
burden,1,SNFH,2,T1n+T1c,666,0.8521886850354002
burden,1,NETC,2,T1n+T1c,672,0.8276132617995651
burden,1,ET,3,T1c+T2w+T2f,677,0.8836944277643118
burden,1,SNFH,3,T1c+T2w+T2f,666,0.8842243703557573
burden,1,NETC,3,T1c+T2w+T2f,672,0.8146850234939336
burden,1,ET,3,T1n+T2w+T2f,677,0.841198076695493
burden,1,SNFH,3,T1n+T2w+T2f,666,0.8855351702067031
burden,1,NETC,3,T1n+T2w+T2f,672,0.7930144996142786
burden,1,ET,3,T1n+T1c+T2f,677,0.8714020223625788
burden,1,SNFH,3,T1n+T1c+T2f,666,0.8701409438635717
burden,1,NETC,3,T1n+T1c+T2f,672,0.8156120695700961
burden,1,ET,3,T1n+T1c+T2w,677,0.8840341180544293
burden,1,SNFH,3,T1n+T1c+T2w,666,0.8673571381600578
burden,1,NETC,3,T1n+T1c+T2w,672,0.8215008941721017
burden,1,ET,4,T1n+T1c+T2w+T2f,677,0.8737360233882243
burden,1,SNFH,4,T1n+T1c+T2w+T2f,666,0.8781635650248788
burden,1,NETC,4,T1n+T1c+T2w+T2f,672,0.8157654814503121
burden,2,ET,1,T2f,677,0.8169617223831793
burden,2,SNFH,1,T2f,666,0.9021481335349949
burden,2,NETC,1,T2f,672,0.7847828564415458
burden,2,ET,1,T2w,677,0.830847384823076
burden,2,SNFH,1,T2w,666,0.8830823524254182
burden,2,NETC,1,T2w,672,0.8098919980363279
burden,2,ET,1,T1c,677,0.912949432169328
burden,2,SNFH,1,T1c,666,0.8579754937419172
burden,2,NETC,1,T1c,672,0.8418827582579423
burden,2,ET,1,T1n,677,0.8122739963795589
burden,2,SNFH,1,T1n,666,0.8371517502904364
burden,2,NETC,1,T1n,672,0.7770530892769479
burden,2,ET,2,T2w+T2f,677,0.8356468798898964
burden,2,SNFH,2,T2w+T2f,666,0.9058722956533176
burden,2,NETC,2,T2w+T2f,672,0.806985938705379
burden,2,ET,2,T1c+T2f,677,0.8869423052478862
burden,2,SNFH,2,T1c+T2f,666,0.8893820828127398
burden,2,NETC,2,T1c+T2f,672,0.8197059751735747
burden,2,ET,2,T1c+T2w,677,0.8978365015844909
burden,2,SNFH,2,T1c+T2w,666,0.8693562175314001
burden,2,NETC,2,T1c+T2w,672,0.8353649449470509
burden,2,ET,2,T1n+T2f,677,0.8296946293869357
burden,2,SNFH,2,T1n+T2f,666,0.8815655071129525
burden,2,NETC,2,T1n+T2f,672,0.7824246966827968
burden,2,ET,2,T1n+T2w,677,0.8363657083747902
burden,2,SNFH,2,T1n+T2w,666,0.8683435260077595
burden,2,NETC,2,T1n+T2w,672,0.8031353005119574
burden,2,ET,2,T1n+T1c,677,0.8893398612310377
burden,2,SNFH,2,T1n+T1c,666,0.8587076127222112
burden,2,NETC,2,T1n+T1c,672,0.8182682866961217
burden,2,ET,3,T1c+T2w+T2f,677,0.8833087149187592
burden,2,SNFH,3,T1c+T2w+T2f,666,0.8943184059972382
burden,2,NETC,3,T1c+T2w+T2f,672,0.8269404411249035
burden,2,ET,3,T1n+T2w+T2f,677,0.8429557000030682
burden,2,SNFH,3,T1n+T2w+T2f,666,0.8921088972183863
burden,2,NETC,3,T1n+T2w+T2f,672,0.8004199102321341
burden,2,ET,3,T1n+T1c+T2f,677,0.8767691289464341
burden,2,SNFH,3,T1n+T1c+T2f,666,0.878288507485588
burden,2,NETC,3,T1n+T1c+T2f,672,0.8144264148958552
burden,2,ET,3,T1n+T1c+T2w,677,0.8847660958408758
burden,2,SNFH,3,T1n+T1c+T2w,666,0.8709037504657943
burden,2,NETC,3,T1n+T1c+T2w,672,0.8213409074970194
burden,2,ET,4,T1n+T1c+T2w+T2f,677,0.8780928253027627
burden,2,SNFH,4,T1n+T1c+T2w+T2f,666,0.886902961355516
burden,2,NETC,4,T1n+T1c+T2w+T2f,672,0.8209639525913458
burden_perfold,0,ET,1,T2f,682,0.8280073993223132
burden_perfold,0,SNFH,1,T2f,681,0.9052162097003967
burden_perfold,0,NETC,1,T2f,674,0.7824163156533669
burden_perfold,0,ET,1,T2w,682,0.8414340132118232
burden_perfold,0,SNFH,1,T2w,681,0.8945668135095447
burden_perfold,0,NETC,1,T2w,674,0.8153071019377688
burden_perfold,0,ET,1,T1c,682,0.9120914044246895
burden_perfold,0,SNFH,1,T1c,681,0.8691958708659345
burden_perfold,0,NETC,1,T1c,674,0.8471021130927596
burden_perfold,0,ET,1,T1n,682,0.8138180590806079
burden_perfold,0,SNFH,1,T1n,681,0.8365047011637845
burden_perfold,0,NETC,1,T1n,674,0.7934967937619714
burden_perfold,0,ET,2,T2w+T2f,682,0.8386855682530497
burden_perfold,0,SNFH,2,T2w+T2f,681,0.9096324544677494
burden_perfold,0,NETC,2,T2w+T2f,674,0.800264300961214
burden_perfold,0,ET,2,T1c+T2f,682,0.8853872151282826
burden_perfold,0,SNFH,2,T1c+T2f,681,0.8925088215311111
burden_perfold,0,NETC,2,T1c+T2f,674,0.8193505121652955
burden_perfold,0,ET,2,T1c+T2w,682,0.9004422936145777
burden_perfold,0,SNFH,2,T1c+T2w,681,0.8846472483397989
burden_perfold,0,NETC,2,T1c+T2w,674,0.8322609347400164
burden_perfold,0,ET,2,T1n+T2f,682,0.831864865931118
burden_perfold,0,SNFH,2,T1n+T2f,681,0.878525872838451
burden_perfold,0,NETC,2,T1n+T2f,674,0.7804176218173211
burden_perfold,0,ET,2,T1n+T2w,682,0.8341618119572699
burden_perfold,0,SNFH,2,T1n+T2w,681,0.8768777259079054
burden_perfold,0,NETC,2,T1n+T2w,674,0.8079456846183852
burden_perfold,0,ET,2,T1n+T1c,682,0.886807464197888
burden_perfold,0,SNFH,2,T1n+T1c,681,0.8709601770881276
burden_perfold,0,NETC,2,T1n+T1c,674,0.8310270919442996
burden_perfold,0,ET,3,T1c+T2w+T2f,682,0.8832414993271351
burden_perfold,0,SNFH,3,T1c+T2w+T2f,681,0.8973042277598791
burden_perfold,0,NETC,3,T1c+T2w+T2f,674,0.8198545687248247
burden_perfold,0,ET,3,T1n+T2w+T2f,682,0.8410986766259441
burden_perfold,0,SNFH,3,T1n+T2w+T2f,681,0.892813465711092
burden_perfold,0,NETC,3,T1n+T2w+T2f,674,0.7963874485533576
burden_perfold,0,ET,3,T1n+T1c+T2f,682,0.8718992324518146
burden_perfold,0,SNFH,3,T1n+T1c+T2f,681,0.8807000241085322
burden_perfold,0,NETC,3,T1n+T1c+T2f,674,0.8175906973074614
burden_perfold,0,ET,3,T1n+T1c+T2w,682,0.8838661459086744
burden_perfold,0,SNFH,3,T1n+T1c+T2w,681,0.8800293685756241
burden_perfold,0,NETC,3,T1n+T1c+T2w,674,0.825712582566656
burden_perfold,0,ET,4,T1n+T1c+T2w+T2f,682,0.8736044080322974
burden_perfold,0,SNFH,4,T1n+T1c+T2w+T2f,681,0.8897516821180441
