C,seed,subset,subset_bits,k,finding,finding_idx,n_pos,n,auroc,auprc
0.1,1,T2ax+FLAIRax+T2cor,0111,3,Chronic mastoiditis,25,360,12412,0.7770008205184938,0.11342040457686643
0.1,1,T2ax+FLAIRax+T2cor,0111,3,Ventriculomegaly,26,1204,12412,0.9203449244844095,0.6421396100491715
0.1,1,T2ax+FLAIRax+T2cor,0111,3,Cerebellar degeneration,27,318,12412,0.8374291321753186,0.18010657663046437
0.1,1,T2ax+FLAIRax+T2cor,0111,3,Mega cisterna magna,28,225,12412,0.8304926014058696,0.13551392926648187
0.1,1,T2ax+FLAIRax+T2cor,0111,3,Structure of cave of septum pellucidum,29,238,12412,0.7199010703344917,0.09779427541391264
0.1,1,T2ax+FLAIRax+T2cor,0111,3,Hyperostosis of skull,30,55,12412,0.9190344817438773,0.17925630057373543
0.1,1,T2ax+FLAIRax+T2cor,0111,3,Choroid plexus cyst,32,57,12412,0.579513940659013,0.006988216099738846
0.1,1,T2ax+FLAIRax+T2cor,0111,3,Lipoma of brain,34,34,12412,0.6029791945862204,0.004283200243462349
0.1,1,T2ax+FLAIRax+T2cor,0111,3,Glioma,35,35,12412,0.7825298075924237,0.06270816102002724
0.1,1,T2ax+FLAIRax+T2cor,0111,3,Pituitary adenoma,36,57,12412,0.6674902553835013,0.012386140713000688
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Cerebral infarction,0,339,12412,0.841803561275593,0.17423696135124764
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Cerebral hemorrhage,1,92,12412,0.7538890457368719,0.07779733784996272
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Metastatic malignant neoplasm to brain,2,50,12412,0.8065701342824786,0.06573430072389962
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Intracranial meningioma,3,148,12412,0.694755910509335,0.026207352331164557
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Demyelinating disease of central nervous system,4,294,12412,0.7862140482533994,0.2789000408604861
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Herniation of nucleus pulposus,5,29,12412,0.6829023104534304,0.004657710075282923
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Spinal cord compression,6,22,12412,0.5459314696602832,0.00340068506131756
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Lacunar infarct,7,189,12412,0.8466699305282304,0.13253082488999773
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Silent micro-hemorrhage of brain,8,78,12412,0.8532251894907967,0.10072356557732878
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Cavernous hemangioma,9,67,12412,0.5897728852698838,0.007271947026726388
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Subdural intracranial hemorrhage,10,26,12412,0.7752207827696282,0.17592673733773853
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Gliosis,11,3854,12412,0.8026506879459708,0.6475714744539215
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Cerebral atrophy,12,2012,12412,0.949719089310292,0.8190152393859641
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Encephalomalacia,13,248,12412,0.8007194683412714,0.17079884673198348
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Arachnoid cyst,14,572,12412,0.6934824466074466,0.13212072856369078
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Empty sella syndrome,15,670,12412,0.7706199457490268,0.1611667955257233
