method,seed,axis,macro_full,macro_avg_subset,macro_worst_subset,val_best,budget,macro_auroc,macro_auprc,worst_finding
patient,1,budget,,,,,4.0,0.7958998289382889,0.23730632547467073,0.6420369595119908
finding,1,availability,0.7989532515993208,0.7941201997275084,0.7841762946274377,0.7883365194049422,,,,
finding,1,budget,,,,,1.0,0.7946845419892922,0.23872171377542273,0.6565448297407059
finding,1,budget,,,,,2.0,0.7963639842395074,0.24104402035681083,0.6516655702410143
finding,1,budget,,,,,3.0,0.7963845478235524,0.24682208559811902,0.6422055607622618
finding,1,budget,,,,,4.0,0.7988631488159995,0.25393680616660225,0.6453920649796938
label_id,1,availability,0.7936013098879975,0.7883816781624381,0.7748580466425358,0.7830490817905083,,,,
label_id,1,budget,,,,,1.0,0.7849607005683803,0.2162627654807367,0.6452664314335268
label_id,1,budget,,,,,2.0,0.7889449033532501,0.22221683947272317,0.6520543029723103
label_id,1,budget,,,,,3.0,0.7916595931603623,0.22871079867694638,0.6460438968961186
label_id,1,budget,,,,,4.0,0.7929401767429803,0.23311971965779515,0.6374618742898152
queryseq,1,availability,0.7972453975581874,0.7921222507423491,0.777348463111133,0.7824288494607543,,,,
queryseq,1,budget,,,,,1.0,0.7928681819102816,0.21661359922460482,0.6758268046169487
queryseq,1,budget,,,,,2.0,0.7954609019667493,0.22580321654751562,0.65534357992943
queryseq,1,budget,,,,,3.0,0.7959008441189701,0.22936280063527717,0.6486753184618145
queryseq,1,budget,,,,,4.0,0.7959945997229252,0.23467968236201434,0.6519645954189343
uniform,2,availability,0.7956529935190946,0.7918431501243202,0.7840200183067483,0.7890709140568561,,,,
uniform,2,budget,,,,,1.0,0.7864290867086344,0.23606597422929643,0.6205873164636051
uniform,2,budget,,,,,2.0,0.7942926292453117,0.24359833744362697,0.6541393314589191
uniform,2,budget,,,,,3.0,0.7943875781496832,0.24795602375104783,0.6549203373945642
uniform,2,budget,,,,,4.0,0.7956529935190946,0.24625311190133392,0.655433287482806
patient,2,availability,0.79755494097986,0.7926513417170223,0.7813436985575358,0.7907783324977221,,,,
patient,2,budget,,,,,1.0,0.7899930196988701,0.2287766418138967,0.6478937728937729
patient,2,budget,,,,,2.0,0.7961599599148508,0.23610080990608917,0.6615932061479577
patient,2,budget,,,,,3.0,0.7954333483198524,0.24232243928130706,0.6547156270557981
patient,2,budget,,,,,4.0,0.7975122722457961,0.24766327596546187,0.6489145386041505
finding,2,availability,0.794642353109843,0.7900459450604601,0.7806718570534884,0.7887943923048398,,,,
finding,2,budget,,,,,1.0,0.7885129549138882,0.22568331652739199,0.6481554160125588
finding,2,budget,,,,,2.0,0.7916575911938073,0.23162068947626438,0.6528616709526942
finding,2,budget,,,,,3.0,0.793641078195169,0.23649852708428873,0.6481968781771426
finding,2,budget,,,,,4.0,0.7946478135085091,0.24316141353706316,0.6491836612642785
label_id,2,availability,0.796389477065084,0.7914716625804501,0.7820663546276293,0.7898432078478794,,,,
label_id,2,budget,,,,,1.0,0.7868316074778509,0.22765956922906797,0.6520800627943485
label_id,2,budget,,,,,2.0,0.7934816914068816,0.23176019232244469,0.6696755625327053
label_id,2,budget,,,,,3.0,0.7946641630353178,0.23904633467527692,0.6603672029184857
label_id,2,budget,,,,,4.0,0.7945563589360226,0.24330894377286688,0.6596495424914778
queryseq,2,availability,0.7961479662877355,0.7926878990930518,0.7837622854796457,0.7910224806958284,,,,
queryseq,2,budget,,,,,1.0,0.7911582077276255,0.22589920483386947,0.6694139194139194
queryseq,2,budget,,,,,2.0,0.7926321693630437,0.23673621041158602,0.6512951334379906
queryseq,2,budget,,,,,3.0,0.7967297795744794,0.24369961136368412,0.6669283097854527
queryseq,2,budget,,,,,4.0,0.7965909396190033,0.249372418616337,0.6589916871000537
