seed,delta,finding,n_pos_test,n_pos_train,subset,k,train_lcb,test_delta,test_lcb,kept_promise
1,0.005,Arachnoid cyst,69,572,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
1,0.01,Arachnoid cyst,69,572,T2ax+FLAIRax+T2cor,3,-0.009431312474281162,0.0008967091929425275,-0.02090547054896418,True
1,0.02,Arachnoid cyst,69,572,T2ax+T2cor,2,-0.016766984329670824,-0.007466839661734848,-0.046386656078121834,True
1,0.005,Empty sella syndrome,82,670,T1ax+T2ax+FLAIRax,3,0.0002497964257859553,-0.00592031438349107,-0.028793011581742706,False
1,0.01,Empty sella syndrome,82,670,T1ax+T2ax+FLAIRax,3,0.0002497964257859553,-0.00592031438349107,-0.028793011581742706,True
1,0.02,Empty sella syndrome,82,670,T1ax+T2ax,2,-0.01402354316751353,-0.021086162363019634,-0.05019051763615716,False
1,0.005,Cerebral edema,23,187,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
1,0.01,Cerebral edema,23,187,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
1,0.02,Cerebral edema,23,187,T1ax+FLAIRax+T2cor,3,-0.0134534475342803,-0.014349388640287432,-0.03771382202868336,True
1,0.005,Mastoiditis,23,281,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
1,0.01,Mastoiditis,23,281,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
1,0.02,Mastoiditis,23,281,T2ax+FLAIRax+T2cor,3,-0.013963536078389412,-0.0001031782027890435,-0.043219235848734924,True
1,0.005,Chronic mastoiditis,37,360,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
1,0.01,Chronic mastoiditis,37,360,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
1,0.02,Chronic mastoiditis,37,360,T2ax+FLAIRax+T2cor,3,-0.019764939024433943,0.0057495949787574495,-0.023833428752673202,True
1,0.005,Ventriculomegaly,131,1204,T1ax+T2ax+T2cor,3,-0.0024920053329659676,-0.000955819777087176,-0.008027217565872791,True
1,0.01,Ventriculomegaly,131,1204,T1ax+T2ax,2,-0.005515091281903228,0.0010069185854469473,-0.00864661648620398,True
1,0.02,Ventriculomegaly,131,1204,T2ax,1,-0.0118406568998378,-0.006742191926945208,-0.01785819085299791,True
1,0.005,Cerebellar degeneration,43,318,T1ax,1,-0.0004983144949849205,-0.019204860284283053,-0.058578105723041854,False
1,0.01,Cerebellar degeneration,43,318,T1ax,1,-0.0004983144949849205,-0.019204860284283053,-0.058578105723041854,False
1,0.02,Cerebellar degeneration,43,318,T1ax,1,-0.0004983144949849205,-0.019204860284283053,-0.058578105723041854,True
1,0.005,Mega cisterna magna,23,225,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
1,0.01,Mega cisterna magna,23,225,T2ax+FLAIRax+T2cor,3,-0.009135112560205555,0.007983081015126414,-0.014576883220179934,True
1,0.02,Mega cisterna magna,23,225,T2ax+FLAIRax+T2cor,3,-0.009135112560205555,0.007983081015126414,-0.014576883220179934,True
1,0.005,Structure of cave of septum pellucidum,22,238,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
1,0.01,Structure of cave of septum pellucidum,22,238,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
1,0.02,Structure of cave of septum pellucidum,22,238,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
2,0.005,Cerebral infarction,42,339,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
2,0.01,Cerebral infarction,42,339,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
2,0.02,Cerebral infarction,42,339,T2ax+FLAIRax,2,-0.011488524020309096,-0.01749874013071441,-0.0409131176763621,True
2,0.005,Demyelinating disease of central nervous system,21,294,T2ax+FLAIRax,2,0.001988531830995034,-0.014921367774839505,-0.060155019884651065,False
