shift,held_out,method,seed,axis,n_test,macro_full,macro_avg_subset,macro_worst_subset,budget,macro_auroc,macro_auprc,worst_finding
vendor,Siemens,patient,1,budget,4334,,,,4.0,0.7285723585836132,0.13472336654874648,0.5326668216693793
vendor,Siemens,patient,1,budget,4334,,,,5.0,0.730559173180933,0.13979635795739748,0.5432261094153557
vendor,Siemens,finding,1,availability,4334,0.7306958243604876,0.7153125171777862,0.6388951206656309,,,,
vendor,Siemens,finding,1,budget,4334,,,,1.0,0.7246030021590487,0.1363298096526368,0.5438710182358926
vendor,Siemens,finding,1,budget,4334,,,,2.0,0.7205207152810859,0.13847952547533432,0.5103464310625436
vendor,Siemens,finding,1,budget,4334,,,,3.0,0.7294658854797124,0.1428013287966396,0.5227713075887919
vendor,Siemens,finding,1,budget,4334,,,,4.0,0.7272072506008646,0.14124974354878722,0.5216334467671366
vendor,Siemens,finding,1,budget,4334,,,,5.0,0.7304323456663108,0.13976369548984705,0.5431134069030289
vendor,Siemens,label_id,1,availability,4334,0.7305111661394458,0.7152717517283904,0.6384454300775864,,,,
vendor,Siemens,label_id,1,budget,4334,,,,1.0,0.7250370541246669,0.13968139819819078,0.4994992641359911
vendor,Siemens,label_id,1,budget,4334,,,,2.0,0.7199319566487529,0.13859331042675238,0.519392658683572
vendor,Siemens,label_id,1,budget,4334,,,,3.0,0.7200086028708396,0.13724503563273785,0.5183330357421216
vendor,Siemens,label_id,1,budget,4334,,,,4.0,0.7205324390720746,0.13234077149751938,0.5316170305707623
vendor,Siemens,label_id,1,budget,4334,,,,5.0,0.7303763036533755,0.13973311012935316,0.5426433598951618
vendor,Siemens,queryseq,1,availability,4334,0.7291929044066369,0.7141669140848117,0.6396528079089325,,,,
vendor,Siemens,queryseq,1,budget,4334,,,,1.0,0.6842007915264287,0.11953298797740451,0.5111060729412492
vendor,Siemens,queryseq,1,budget,4334,,,,2.0,0.7118930891442701,0.12969425272932447,0.5382328281654021
vendor,Siemens,queryseq,1,budget,4334,,,,3.0,0.7216923412315931,0.12654888399293052,0.5277075995930187
vendor,Siemens,queryseq,1,budget,4334,,,,4.0,0.7237182687572661,0.1345777162203766,0.5305038292715577
vendor,Siemens,queryseq,1,budget,4334,,,,5.0,0.7299728498541607,0.13953800509624711,0.5431181028410426
vendor,Siemens,uniform,2,availability,4334,0.7284960267555507,0.713173570716438,0.6352848898080821,,,,
vendor,Siemens,uniform,2,budget,4334,,,,1.0,0.6841270627903819,0.11531359588442765,0.46258445886439375
vendor,Siemens,uniform,2,budget,4334,,,,2.0,0.7072481785975344,0.12333544738024026,0.5017860539832174
vendor,Siemens,uniform,2,budget,4334,,,,3.0,0.724099138756471,0.13259619218087546,0.5033078987973199
vendor,Siemens,uniform,2,budget,4334,,,,4.0,0.7201373954839557,0.1370044685562645,0.524839184685732
vendor,Siemens,uniform,2,budget,4334,,,,5.0,0.7284960267555507,0.13886338553051764,0.5344572278312593
vendor,Siemens,patient,2,availability,4334,0.7314635032286805,0.7151977472014245,0.6355692153848603,,,,
vendor,Siemens,patient,2,budget,4334,,,,1.0,0.7017503370960883,0.11768435673700146,0.500257163591272
vendor,Siemens,patient,2,budget,4334,,,,2.0,0.7209774366133205,0.1285173616805588,0.5340477549266203
vendor,Siemens,patient,2,budget,4334,,,,3.0,0.7344157953713903,0.13781383835782846,0.5323638618221274
vendor,Siemens,patient,2,budget,4334,,,,4.0,0.72932586349596,0.13467107981484633,0.5281928465210926
vendor,Siemens,patient,2,budget,4334,,,,5.0,0.7286288260227785,0.1389941422132894,0.5344447053298896
vendor,Siemens,finding,2,availability,4334,0.7289743836728978,0.7134403722432822,0.635726327672304,,,,
vendor,Siemens,finding,2,budget,4334,,,,1.0,0.7217359105098243,0.13602762028185422,0.5450740842510199
vendor,Siemens,finding,2,budget,4334,,,,2.0,0.7125227386489452,0.13808903774979295,0.5056258939076888
vendor,Siemens,finding,2,budget,4334,,,,3.0,0.7248624905822494,0.13761654044489913,0.5177442877977638
vendor,Siemens,finding,2,budget,4334,,,,4.0,0.7284266583999885,0.1408057782701585,0.5306597792909133
vendor,Siemens,finding,2,budget,4334,,,,5.0,0.7286834514333381,0.13901004666591638,0.5344885340846834
vendor,Siemens,label_id,2,availability,4334,0.7289264062022407,0.7134784333412776,0.6355319401815406,,,,
vendor,Siemens,label_id,2,budget,4334,,,,1.0,0.7162249234449547,0.13095719202317868,0.5042097327612325
vendor,Siemens,label_id,2,budget,4334,,,,2.0,0.7150913899097626,0.1338691219859451,0.5233243854494727
vendor,Siemens,label_id,2,budget,4334,,,,3.0,0.7219145012310226,0.13917830821105937,0.527269312045081
vendor,Siemens,label_id,2,budget,4334,,,,4.0,0.7185606110590874,0.13731005804108198,0.5243248575031881
vendor,Siemens,label_id,2,budget,4334,,,,5.0,0.7286459220064534,0.1390640439628142,0.53423093995054
vendor,Siemens,queryseq,2,availability,4334,0.7294655970640724,0.7138604160329417,0.6361660406485407,,,,
vendor,Siemens,queryseq,2,budget,4334,,,,1.0,0.7010179326896437,0.12254688714667347,0.5250646431767101
vendor,Siemens,queryseq,2,budget,4334,,,,2.0,0.7144160872784655,0.1322898237234113,0.5383032839438326
vendor,Siemens,queryseq,2,budget,4334,,,,3.0,0.7210771749649794,0.12608328648565537,0.5273162714252172
vendor,Siemens,queryseq,2,budget,4334,,,,4.0,0.7256551591925747,0.1350997372593907,0.5308279258523387
vendor,Siemens,queryseq,2,budget,4334,,,,5.0,0.7293311608313008,0.13929655446531555,0.534842294748376
