method,seed,axis,macro_full,macro_avg_subset,macro_worst_subset,val_best,budget,macro_auroc,macro_auprc,worst_finding
patient,1,budget,,,,,5.0,0.7837690900780259,0.2861365943904239,0.6238636363636364
finding,1,availability,0.78423607139097,0.7762529282782415,0.7413410434174005,0.8189001329139719,,,,
finding,1,budget,,,,,1.0,0.7814652339154101,0.27452528454888253,0.6330205358357133
finding,1,budget,,,,,2.0,0.7807471009431356,0.28352316307254266,0.6040799673602613
finding,1,budget,,,,,3.0,0.784441049377309,0.28673620221258017,0.6205358357133143
finding,1,budget,,,,,4.0,0.7853911797346248,0.2909727813163816,0.6235822113423093
finding,1,budget,,,,,5.0,0.7837732478609664,0.28618448841131616,0.629383116883117
label_id,1,availability,0.7836967644246564,0.7758688062090332,0.740982293283175,0.8185977975703755,,,,
label_id,1,budget,,,,,1.0,0.7780953359029196,0.27611512792527,0.6321501427988576
label_id,1,budget,,,,,2.0,0.7803528318701636,0.2793392159788172,0.6126082251082252
label_id,1,budget,,,,,3.0,0.7853599583308767,0.28872522028868003,0.645021645021645
label_id,1,budget,,,,,4.0,0.7845220292963558,0.2907321057829957,0.6109848484848485
label_id,1,budget,,,,,5.0,0.7833721535440669,0.28589053209235243,0.6266233766233766
queryseq,1,availability,0.7853303671181288,0.777470215380153,0.7414346272156114,0.8187617687217233,,,,
queryseq,1,budget,,,,,1.0,0.7803682964183657,0.28098398274138975,0.6004870129870129
queryseq,1,budget,,,,,2.0,0.7797705841053203,0.28352915336659795,0.6272727272727273
queryseq,1,budget,,,,,3.0,0.7835169040208162,0.28471023044705646,0.6147186147186148
queryseq,1,budget,,,,,4.0,0.7849002575379398,0.2898471117480157,0.6161796536796537
queryseq,1,budget,,,,,5.0,0.7850462584051036,0.28546024805102227,0.6237012987012986
uniform,2,availability,0.7835336681344826,0.7755833188315957,0.7391429189965409,0.8218107126547777,,,,
uniform,2,budget,,,,,1.0,0.7781434653865285,0.2738192316882144,0.631504444821924
uniform,2,budget,,,,,2.0,0.7728322720514301,0.26117931663261124,0.6209415584415585
uniform,2,budget,,,,,3.0,0.781033339001671,0.2764050535606051,0.6298109615123079
uniform,2,budget,,,,,4.0,0.782876422368496,0.2807650143629416,0.6320346320346321
uniform,2,budget,,,,,5.0,0.7835336681344826,0.28248412096535347,0.6107142857142858
patient,2,availability,0.7829793859394458,0.774953033440626,0.7376660507013355,0.8221104991732592,,,,
patient,2,budget,,,,,1.0,0.7772222905959628,0.27309146288279784,0.6359775777136063
patient,2,budget,,,,,2.0,0.7759906425500627,0.2810819458789798,0.604978354978355
patient,2,budget,,,,,3.0,0.7830561442216718,0.28500930209912584,0.6394480519480519
patient,2,budget,,,,,4.0,0.7806515934180022,0.28134486543671283,0.5939935064935066
patient,2,budget,,,,,5.0,0.7826804688698337,0.2828399917230839,0.6034090909090909
finding,2,availability,0.7833365302795667,0.7754206142794997,0.7383660998346858,0.8218862625094886,,,,
finding,2,budget,,,,,1.0,0.7877125624697953,0.27251728581860823,0.6507819937440501
finding,2,budget,,,,,2.0,0.7816383219341176,0.2849864644829985,0.6115259740259741
finding,2,budget,,,,,3.0,0.7849055098719635,0.2826613681904709,0.628517316017316
finding,2,budget,,,,,4.0,0.7863323959319316,0.2864333014243401,0.638095238095238
finding,2,budget,,,,,5.0,0.7830263377326588,0.28197324289875214,0.6084415584415583
label_id,2,availability,0.783051574251027,0.7750786990451494,0.7379152704314368,0.8221359808238166,,,,
label_id,2,budget,,,,,1.0,0.7778425385160759,0.2736782582951417,0.6300322745031425
label_id,2,budget,,,,,2.0,0.7795425210925426,0.275364614291372,0.6096861471861472
label_id,2,budget,,,,,3.0,0.7842864038960206,0.2856400321662665,0.6310064935064935
label_id,2,budget,,,,,4.0,0.7849093387676435,0.28715165805398973,0.5937770562770563
label_id,2,budget,,,,,5.0,0.7827084417564993,0.2821010109192367,0.6057900432900434
queryseq,2,availability,0.7838246457222399,0.7755218766082697,0.7378943177548892,0.8222435041330977,,,,
queryseq,2,budget,,,,,1.0,0.7756806916852916,0.27490650151472,0.5894192846457228
queryseq,2,budget,,,,,2.0,0.7808317112730254,0.2805966165082733,0.6256493506493506
queryseq,2,budget,,,,,3.0,0.7839097147330953,0.2833571906658099,0.6338203463203462
queryseq,2,budget,,,,,4.0,0.7849680210643565,0.2865377267652871,0.6069264069264069
queryseq,2,budget,,,,,5.0,0.7829353313235292,0.28343524863562286,0.6086038961038962
