finding,n_pos,auroc,auprc,method,seed,shift,held_out,axis,subset,k
Structure of cave of septum pellucidum,75,0.5415794004852469,0.02351113280991797,uniform,0,vendor,Siemens,availability,T1ax,1
Cerebral infarction,83,0.7885146797493432,0.11627269835778088,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Cerebral hemorrhage,29,0.8078176939404863,0.10888893193970076,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Intracranial meningioma,38,0.7921689699108106,0.04766516023281563,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Demyelinating disease of central nervous system,81,0.5760842745716168,0.022407670142222252,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Lacunar infarct,34,0.7699316005471956,0.026774774547397757,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Silent micro-hemorrhage of brain,28,0.8079507000199058,0.054571535042860234,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Cavernous hemangioma,33,0.5995575377114554,0.011101672671575316,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Gliosis,1343,0.7013137949465174,0.5410614853363561,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Cerebral atrophy,685,0.845042637418911,0.5368038166748508,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Encephalomalacia,52,0.7843881363848668,0.10979084293937387,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Arachnoid cyst,327,0.5878290972449589,0.10452972957852251,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Empty sella syndrome,227,0.6422118034214711,0.09008689949935744,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Chiari malformation,42,0.5990436249056939,0.01275357936909043,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Cyst of pineal gland,57,0.6166972258797566,0.02155710659314713,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Cerebral edema,53,0.8014174082056299,0.1498527453990894,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Mastoiditis,115,0.6144439749786164,0.04709082952518172,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Chronic mastoiditis,175,0.6227128774087177,0.07149697882229199,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Ventriculomegaly,189,0.7685718115151167,0.19766058854206764,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Cerebellar degeneration,189,0.788871656422923,0.18470362704877824,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Mega cisterna magna,83,0.6130293935091105,0.02975451403318969,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Structure of cave of septum pellucidum,75,0.5365297018079361,0.02154876322664575,uniform,0,vendor,Siemens,availability,FLAIRsag+SWIax,2
Cerebral infarction,83,0.8398023994354271,0.13715582491986847,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Cerebral hemorrhage,29,0.8507909808162121,0.09398716766023772,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Intracranial meningioma,38,0.8407024894638832,0.07590018813652799,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Demyelinating disease of central nervous system,81,0.6283785156737584,0.029670547334014523,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Lacunar infarct,34,0.8252530779753762,0.03126292597145389,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Silent micro-hemorrhage of brain,28,0.8543643421139937,0.060832381080123184,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Cavernous hemangioma,33,0.5258114744280752,0.008359484028456628,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Gliosis,1343,0.7598833980223121,0.6124984724128819,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Cerebral atrophy,685,0.9261283463322617,0.7040525845591311,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Encephalomalacia,52,0.8489607659971975,0.1283902476176908,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Arachnoid cyst,327,0.5939788855740986,0.1012201641102039,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Empty sella syndrome,227,0.6509086774594574,0.08926671520771085,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Chiari malformation,42,0.6383859228686815,0.0159362791242105,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Cyst of pineal gland,57,0.6150236474984515,0.019658678080855828,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Cerebral edema,53,0.8799610389038006,0.2297592401198028,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Mastoiditis,115,0.6145346620361305,0.04059349800517778,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Chronic mastoiditis,175,0.6428495860955585,0.0768735508630763,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Ventriculomegaly,189,0.7900511229823652,0.19684740222083863,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Cerebellar degeneration,189,0.8529955770004021,0.24593478717208767,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Mega cisterna magna,83,0.6110171100775721,0.034304307653663026,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Structure of cave of septum pellucidum,75,0.5612679032636769,0.03947260354182892,uniform,0,vendor,Siemens,availability,FLAIRax+SWIax,2
Cerebral infarction,83,0.8157967083577783,0.13907533693199006,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Cerebral hemorrhage,29,0.7845969001561937,0.12578776155794227,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Intracranial meningioma,38,0.8037770753699892,0.05680252355306857,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Demyelinating disease of central nervous system,81,0.5600258931240982,0.02089339842904578,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Lacunar infarct,34,0.7991586867305062,0.03172681535000191,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Silent micro-hemorrhage of brain,28,0.8290757083139806,0.04762404406627527,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Cavernous hemangioma,33,0.5627021200143729,0.011010236608319533,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Gliosis,1343,0.714314698874484,0.5682409911117896,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Cerebral atrophy,685,0.8938623320457759,0.678455286673452,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Encephalomalacia,52,0.7905858153989868,0.09049696704742317,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Arachnoid cyst,327,0.5913451154668932,0.10814119074574792,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Empty sella syndrome,227,0.6317568908353525,0.08548077704640189,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Chiari malformation,42,0.678671282119558,0.017439362765997463,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Cyst of pineal gland,57,0.6101998039288073,0.020129578216195376,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Cerebral edema,53,0.8365617273340297,0.16983529359865177,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Mastoiditis,115,0.5759060976740831,0.034409735565339036,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Chronic mastoiditis,175,0.6421784082712191,0.0701062683219096,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Ventriculomegaly,189,0.8037273185644718,0.2328338423887442,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Cerebellar degeneration,189,0.8155309195116192,0.21518559111208127,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Mega cisterna magna,83,0.5853534108204165,0.028004739476945817,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Structure of cave of septum pellucidum,75,0.539560147139391,0.02253888904900771,uniform,0,vendor,Siemens,availability,FLAIRax+FLAIRsag,2
Cerebral infarction,83,0.8367556322679568,0.11988907862533395,uniform,0,vendor,Siemens,availability,T2ax+SWIax,2
Cerebral hemorrhage,29,0.8057911810645201,0.041104192011169854,uniform,0,vendor,Siemens,availability,T2ax+SWIax,2
Intracranial meningioma,38,0.8170329804959326,0.046264546414612695,uniform,0,vendor,Siemens,availability,T2ax+SWIax,2
Demyelinating disease of central nervous system,81,0.631406153390635,0.02681159971175032,uniform,0,vendor,Siemens,availability,T2ax+SWIax,2
Lacunar infarct,34,0.8391313269493844,0.035766955214438366,uniform,0,vendor,Siemens,availability,T2ax+SWIax,2
Silent micro-hemorrhage of brain,28,0.8786742750978701,0.06550350482553723,uniform,0,vendor,Siemens,availability,T2ax+SWIax,2
Cavernous hemangioma,33,0.5426398371062403,0.009327379258370074,uniform,0,vendor,Siemens,availability,T2ax+SWIax,2
Gliosis,1343,0.7592155966534501,0.6057173461503812,uniform,0,vendor,Siemens,availability,T2ax+SWIax,2
Cerebral atrophy,685,0.9082228307725545,0.6551800938913839,uniform,0,vendor,Siemens,availability,T2ax+SWIax,2
Encephalomalacia,52,0.8255757553982681,0.09583716467333946,uniform,0,vendor,Siemens,availability,T2ax+SWIax,2
Arachnoid cyst,327,0.5850869540994391,0.09923698752003934,uniform,0,vendor,Siemens,availability,T2ax+SWIax,2
Empty sella syndrome,227,0.6465430783802019,0.08641929846748969,uniform,0,vendor,Siemens,availability,T2ax+SWIax,2
Chiari malformation,42,0.6145375671237739,0.014127203646668434,uniform,0,vendor,Siemens,availability,T2ax+SWIax,2
Cyst of pineal gland,57,0.6577819343776791,0.021580894893360625,uniform,0,vendor,Siemens,availability,T2ax+SWIax,2
Cerebral edema,53,0.8201487044554041,0.10629340250627549,uniform,0,vendor,Siemens,availability,T2ax+SWIax,2
Mastoiditis,115,0.635374135638983,0.0448356972357611,uniform,0,vendor,Siemens,availability,T2ax+SWIax,2
Chronic mastoiditis,175,0.6552783979665443,0.0721043038890895,uniform,0,vendor,Siemens,availability,T2ax+SWIax,2
Ventriculomegaly,189,0.7755809574868682,0.17076893197079257,uniform,0,vendor,Siemens,availability,T2ax+SWIax,2
Cerebellar degeneration,189,0.8378156892029026,0.21316228819462005,uniform,0,vendor,Siemens,availability,T2ax+SWIax,2
Mega cisterna magna,83,0.6016840828380566,0.03504232792311698,uniform,0,vendor,Siemens,availability,T2ax+SWIax,2
Structure of cave of septum pellucidum,75,0.531151287469672,0.028462808935208098,uniform,0,vendor,Siemens,availability,T2ax+SWIax,2
Cerebral infarction,83,0.8207338882700881,0.1322432255771235,uniform,0,vendor,Siemens,availability,T2ax+FLAIRsag,2
Cerebral hemorrhage,29,0.754559653970924,0.09102242194144147,uniform,0,vendor,Siemens,availability,T2ax+FLAIRsag,2
Intracranial meningioma,38,0.7895165637557582,0.04861118600049979,uniform,0,vendor,Siemens,availability,T2ax+FLAIRsag,2
Demyelinating disease of central nervous system,81,0.5533639290203284,0.020981150709542214,uniform,0,vendor,Siemens,availability,T2ax+FLAIRsag,2
Lacunar infarct,34,0.809562243502052,0.03897824377525648,uniform,0,vendor,Siemens,availability,T2ax+FLAIRsag,2
Silent micro-hemorrhage of brain,28,0.8384728949638378,0.07265521811492039,uniform,0,vendor,Siemens,availability,T2ax+FLAIRsag,2
Cavernous hemangioma,33,0.58886235054568,0.012244701507716654,uniform,0,vendor,Siemens,availability,T2ax+FLAIRsag,2
Gliosis,1343,0.7159624816370183,0.5728772438335435,uniform,0,vendor,Siemens,availability,T2ax+FLAIRsag,2
Cerebral atrophy,685,0.8741064945300481,0.6513629553473206,uniform,0,vendor,Siemens,availability,T2ax+FLAIRsag,2
Encephalomalacia,52,0.7628624294901736,0.0806135135333893,uniform,0,vendor,Siemens,availability,T2ax+FLAIRsag,2
Arachnoid cyst,327,0.583865849442375,0.1058188781594446,uniform,0,vendor,Siemens,availability,T2ax+FLAIRsag,2
Empty sella syndrome,227,0.6344802952732469,0.08483800372792288,uniform,0,vendor,Siemens,availability,T2ax+FLAIRsag,2
Chiari malformation,42,0.6621344250654595,0.016823947704212427,uniform,0,vendor,Siemens,availability,T2ax+FLAIRsag,2
Cyst of pineal gland,57,0.6571379348535004,0.02252619654467743,uniform,0,vendor,Siemens,availability,T2ax+FLAIRsag,2
Cerebral edema,53,0.7591860480490805,0.11590344359147213,uniform,0,vendor,Siemens,availability,T2ax+FLAIRsag,2
Mastoiditis,115,0.601471603615116,0.036933545734753534,uniform,0,vendor,Siemens,availability,T2ax+FLAIRsag,2
Chronic mastoiditis,175,0.6594318689245355,0.07150858326999393,uniform,0,vendor,Siemens,availability,T2ax+FLAIRsag,2
Ventriculomegaly,189,0.7881555517261186,0.20546246631128243,uniform,0,vendor,Siemens,availability,T2ax+FLAIRsag,2
Cerebellar degeneration,189,0.7884785009031089,0.21206260133037164,uniform,0,vendor,Siemens,availability,T2ax+FLAIRsag,2
Mega cisterna magna,83,0.5784096158806007,0.028712799500103206,uniform,0,vendor,Siemens,availability,T2ax+FLAIRsag,2
Structure of cave of septum pellucidum,75,0.4993566564921343,0.026816383187646627,uniform,0,vendor,Siemens,availability,T2ax+FLAIRsag,2
Cerebral infarction,83,0.853259190608588,0.13392480973253318,uniform,0,vendor,Siemens,availability,T2ax+FLAIRax,2
Cerebral hemorrhage,29,0.7962753814730266,0.05653551161711693,uniform,0,vendor,Siemens,availability,T2ax+FLAIRax,2
Intracranial meningioma,38,0.8379827011663236,0.04893276873041968,uniform,0,vendor,Siemens,availability,T2ax+FLAIRax,2
Demyelinating disease of central nervous system,81,0.6268980792062537,0.024649659188984548,uniform,0,vendor,Siemens,availability,T2ax+FLAIRax,2
Lacunar infarct,34,0.8484131326949385,0.04106569136673808,uniform,0,vendor,Siemens,availability,T2ax+FLAIRax,2
Silent micro-hemorrhage of brain,28,0.8781434543162365,0.05902358442601899,uniform,0,vendor,Siemens,availability,T2ax+FLAIRax,2
Cavernous hemangioma,33,0.5190477196987311,0.008216477593027606,uniform,0,vendor,Siemens,availability,T2ax+FLAIRax,2
Gliosis,1343,0.7668094877832804,0.6207680557071932,uniform,0,vendor,Siemens,availability,T2ax+FLAIRax,2
Cerebral atrophy,685,0.9378655886124186,0.7714721901902273,uniform,0,vendor,Siemens,availability,T2ax+FLAIRax,2
Encephalomalacia,52,0.8380788991484929,0.08820885602817818,uniform,0,vendor,Siemens,availability,T2ax+FLAIRax,2
Arachnoid cyst,327,0.5844069514435364,0.0998882709348127,uniform,0,vendor,Siemens,availability,T2ax+FLAIRax,2
Empty sella syndrome,227,0.6325538540087892,0.08208405459214466,uniform,0,vendor,Siemens,availability,T2ax+FLAIRax,2
Chiari malformation,42,0.7005336617405582,0.019428019392534267,uniform,0,vendor,Siemens,availability,T2ax+FLAIRax,2
Cyst of pineal gland,57,0.6612603521898034,0.022780690858729323,uniform,0,vendor,Siemens,availability,T2ax+FLAIRax,2
Cerebral edema,53,0.8612914457475549,0.14034773306119405,uniform,0,vendor,Siemens,availability,T2ax+FLAIRax,2
Mastoiditis,115,0.6017292373012356,0.036798548797827756,uniform,0,vendor,Siemens,availability,T2ax+FLAIRax,2
Chronic mastoiditis,175,0.6834829801119774,0.07345057510909536,uniform,0,vendor,Siemens,availability,T2ax+FLAIRax,2
Ventriculomegaly,189,0.803355863186985,0.2061842346356207,uniform,0,vendor,Siemens,availability,T2ax+FLAIRax,2
Cerebellar degeneration,189,0.8552587741972542,0.24189236439389547,uniform,0,vendor,Siemens,availability,T2ax+FLAIRax,2
Mega cisterna magna,83,0.5785513259814132,0.034918208026412184,uniform,0,vendor,Siemens,availability,T2ax+FLAIRax,2
Structure of cave of septum pellucidum,75,0.5302715817484542,0.024584297778027193,uniform,0,vendor,Siemens,availability,T2ax+FLAIRax,2
