finding,n_pos,sequence,shapley,shapley_sd_seed
Schwannoma,38,T1ax,0.04504147639721078,0.015012108404277764
Schwannoma,38,T2ax,0.031954180614550826,0.015909040241855625
Schwannoma,38,FLAIRax,0.07042092135737525,0.003122524819539798
Schwannoma,38,FLAIRsag,0.05373487611778419,0.01194451828989876
Schwannoma,38,SWIax,0.0109276475975258,0.008133583009695858
Cyst of pineal gland,103,T1ax,0.01879086094360897,0.0007911469119297836
Cyst of pineal gland,103,T2ax,0.027363254964392004,0.008696385475499162
Cyst of pineal gland,103,FLAIRax,0.02412680580085766,0.006056226332301129
Cyst of pineal gland,103,FLAIRsag,0.028692560117884364,0.011351571603669827
Cyst of pineal gland,103,SWIax,0.030050140330220177,0.011475301436866179
Hemangioma of vertebral column,31,T1ax,0.031572564374092164,0.01206968692940123
Hemangioma of vertebral column,31,T2ax,0.0438659313674819,0.017206062990966615
Hemangioma of vertebral column,31,FLAIRax,-0.015459391622811354,0.01686915770873751
Hemangioma of vertebral column,31,FLAIRsag,0.012336284330998731,0.008754152083443786
Hemangioma of vertebral column,31,SWIax,0.03272374251435108,0.009755722934384464
Cerebral edema,533,T1ax,0.074329356525029,0.001402468948278858
Cerebral edema,533,T2ax,0.07376159020098622,0.0007488729760061488
Cerebral edema,533,FLAIRax,0.09041751310897378,0.0004352420352642252
Cerebral edema,533,FLAIRsag,0.08317767853403486,0.0033339462300956647
Cerebral edema,533,SWIax,0.0768138058681334,0.0013244054395067798
Spinal stenosis,43,T1ax,0.05212947532783374,0.01158647761545595
Spinal stenosis,43,T2ax,-0.005652793323107971,0.01268777680562591
Spinal stenosis,43,FLAIRax,-0.00776872003205793,0.01350951154288228
Spinal stenosis,43,FLAIRsag,0.026779221766225863,0.004911810070870713
Spinal stenosis,43,SWIax,0.03968132764028797,0.013020853292156655
Mastoiditis,265,T1ax,0.007738807217913608,0.004521465717392191
Mastoiditis,265,T2ax,0.0851967050952032,0.0039724290555169205
Mastoiditis,265,FLAIRax,0.05896718485017188,0.004280013665502206
Mastoiditis,265,FLAIRsag,0.049684070439149165,0.0024166547950892955
Mastoiditis,265,SWIax,0.034075566552198684,0.00401281290941734
Chronic mastoiditis,211,T1ax,0.07707068108047098,0.003445773846248548
Chronic mastoiditis,211,T2ax,0.06974295560067899,0.004685085530438567
Chronic mastoiditis,211,FLAIRax,0.05625284673897198,0.0011778201863859386
Chronic mastoiditis,211,FLAIRsag,0.03774920830404155,0.005195154551726998
Chronic mastoiditis,211,SWIax,0.054275277178177546,0.004533820569671618
Ventriculomegaly,889,T1ax,0.08311434171622241,0.0004705645501673764
Ventriculomegaly,889,T2ax,0.08069986812560946,0.00123505216660864
Ventriculomegaly,889,FLAIRax,0.08367568566217558,0.0007892618362204463
Ventriculomegaly,889,FLAIRsag,0.08363873708225324,0.0006136724265615049
Ventriculomegaly,889,SWIax,0.07641799581613919,0.0005739443719935645
Cerebellar degeneration,351,T1ax,0.07749437327363796,0.0026961706055961994
Cerebellar degeneration,351,T2ax,0.07732471287486156,0.0034839334102309523
Cerebellar degeneration,351,FLAIRax,0.07243257766034195,0.0034761525908721795
Cerebellar degeneration,351,FLAIRsag,0.0638063338691887,0.0007942662721946354
