a,b,axis,condition,n_seeds,delta,ci_lo,ci_hi,p_sign,seed_sd
queryseq,uniform,avail,T1ax+T2ax+FLAIRax,3,0.00029736770323587127,-0.0007313978225892757,0.0013453642288290485,0.6893333333333334,0.000629154308752552
queryseq,uniform,avail,T1ax+T2ax+FLAIRax+T2cor,3,-9.131114826815487e-07,-0.0009934891448161185,0.0009917035410115895,0.5126666666666667,0.0005382754739176894
queryseq,uniform,budget,1,3,0.003994245593281262,-0.006509705136724251,0.01513348793324046,0.7506666666666667,0.0020346809960568586
queryseq,uniform,budget,2,3,0.003080389350458569,-0.005154033696687055,0.011372477550465358,0.7613333333333333,0.0007830654636400959
queryseq,uniform,budget,3,3,0.00030705437605443273,-0.005444340844070457,0.006007518390865801,0.5313333333333333,0.0018827087480567139
queryseq,uniform,budget,4,3,-0.0005479080975998436,-0.001451566478873666,0.00025664765286577195,0.23466666666666666,0.0004938034447508354
queryseq,patient,avail,T2cor,3,-0.0006371730444609231,-0.0015617938236496245,0.0003434454731293173,0.24266666666666667,0.0005476469266339429
queryseq,patient,avail,FLAIRax,3,-0.0008175980800475156,-0.001722369712864182,9.110737963613192e-05,0.19266666666666665,0.0006335639856883988
queryseq,patient,avail,T2ax,3,-0.00025916838433866413,-0.0011947136346284035,0.0006605772208127834,0.3733333333333333,0.0005169785777472036
queryseq,patient,avail,T1ax,3,-0.0004988367828213783,-0.0015274707797371058,0.0004624026202703615,0.23333333333333336,0.0004237556970614369
queryseq,patient,avail,FLAIRax+T2cor,3,-0.0006164017397058757,-0.0014733979712279412,0.0002580637576272609,0.11066666666666665,0.00023640924628442415
queryseq,patient,avail,T2ax+T2cor,3,-0.0006706125486728633,-0.0015685664429384008,0.00026131507757494124,0.214,0.0005524656748797869
queryseq,patient,avail,T2ax+FLAIRax,3,-0.00048547463904500605,-0.0014253110429661754,0.000407321639088101,0.18266666666666667,0.0002841043867843665
queryseq,patient,avail,T1ax+T2cor,3,-0.00021644964065952786,-0.0013134273641900367,0.0008775609041389211,0.40066666666666667,0.0006594852318545198
queryseq,patient,avail,T1ax+FLAIRax,3,-0.0006988394221090527,-0.0017284079135510572,0.0003555023524241994,0.15733333333333335,0.00044581760875643083
queryseq,patient,avail,T1ax+T2ax,3,-0.0003285181998902256,-0.0012510302799571837,0.0005950870908803997,0.36200000000000004,0.0005320654598308062
queryseq,patient,avail,T2ax+FLAIRax+T2cor,3,-0.0005722692623309731,-0.001422225829699859,0.00022067294129283197,0.15933333333333333,0.0003673597905254342
queryseq,patient,avail,T1ax+FLAIRax+T2cor,3,-0.0005923353051851279,-0.001536605021498317,0.00034916921763968007,0.16333333333333333,0.0003416007416401868
queryseq,patient,avail,T1ax+T2ax+T2cor,3,-0.0003428903117483116,-0.0012726104028324386,0.0005983370458580527,0.33,0.00048010100800938545
queryseq,patient,avail,T1ax+T2ax+FLAIRax,3,-0.0005247937617199646,-0.0013737068774230161,0.0003664073782930219,0.18733333333333335,0.00036817623126126584
queryseq,patient,avail,T1ax+T2ax+FLAIRax+T2cor,3,-0.000449716530485028,-0.0013401801570060879,0.00039968570832515726,0.2353333333333333,0.0003845835475882203
queryseq,patient,budget,1,3,-0.003292695713203854,-0.00947690751285562,0.0029141980386492897,0.222,0.002487712879800633
queryseq,patient,budget,2,3,0.00014927375129068787,-0.0012156675523960713,0.0017308839928624699,0.49800000000000005,0.0003952604922801833
queryseq,patient,budget,3,3,0.0012620506746927886,-0.0022943467142980405,0.0049481939837946924,0.694,0.0016405117399297172
queryseq,patient,budget,4,3,-0.0006660284430482832,-0.0015048057824287918,0.00011565104796044168,0.11533333333333333,0.0003638199876276167
queryseq,finding,avail,T2cor,3,-0.0007280861305425513,-0.001744758970158769,0.0002664037976414688,0.21799999999999997,0.0006106159098437183
queryseq,finding,avail,FLAIRax,3,-0.0005702660745278788,-0.0014605234166297461,0.0003207848758208451,0.25933333333333336,0.000657940181890444
queryseq,finding,avail,T2ax,3,3.432790748126506e-05,-0.0008482179057401886,0.0009265987899072028,0.5733333333333334,0.0005810065019570216
queryseq,finding,avail,T1ax,3,-0.001003275833505696,-0.002059180503747132,1.9645698148540748e-05,0.07333333333333333,0.0005312473061678599
queryseq,finding,avail,FLAIRax+T2cor,3,-0.0003336291197371971,-0.001408095277987743,0.0007561535971063591,0.326,0.00047141592965356034
queryseq,finding,avail,T2ax+T2cor,3,8.510420690693395e-05,-0.0010619105123496739,0.001209901372168595,0.48266666666666663,0.0007079866627071145
queryseq,finding,avail,T2ax+FLAIRax,3,-0.0003834806289690505,-0.001297137273928478,0.0004276250939177796,0.26999999999999996,0.000385066619359989
queryseq,finding,avail,T1ax+T2cor,3,-0.0007342665616615306,-0.0017893472616249833,0.0002801275511217882,0.25466666666666665,0.0007094766379884789
queryseq,finding,avail,T1ax+FLAIRax,3,-0.000345661894074517,-0.001493911756897362,0.000865761306667985,0.3206666666666667,0.0005309931645940266
queryseq,finding,avail,T1ax+T2ax,3,0.0003163601926648107,-0.0007096236834023606,0.001446181134752026,0.6566666666666666,0.0007547026394590738
queryseq,finding,avail,T2ax+FLAIRax+T2cor,3,-0.0003373957142363739,-0.0013128957715527467,0.0005912542800954836,0.3473333333333333,0.000615124942262726
queryseq,finding,avail,T1ax+FLAIRax+T2cor,3,-0.0006198991053455364,-0.0016536999831236975,0.00041876922183915565,0.18733333333333332,0.00043569265422379
queryseq,finding,avail,T1ax+T2ax+T2cor,3,-0.00019299839296476186,-0.0011714768698832755,0.0008061299162174217,0.414,0.0006702558852497692
queryseq,finding,avail,T1ax+T2ax+FLAIRax,3,-0.0001023130324813936,-0.001140008519049521,0.000833243649928902,0.522,0.0005585674398400278
queryseq,finding,avail,T1ax+T2ax+FLAIRax+T2cor,3,-0.0003606070188951216,-0.0013048198376474716,0.0005126591114539667,0.31866666666666665,0.0004609293374364669
queryseq,finding,budget,1,3,-0.0013802514096815394,-0.008766260933149764,0.006444096123939265,0.3866666666666667,0.002441364242130154
queryseq,finding,budget,2,3,-0.002485361699924738,-0.0075414403178523486,0.0020440095742631594,0.158,0.0003004071334630226
queryseq,finding,budget,3,3,-0.0012213502265098386,-0.006287605133499567,0.003640093875491342,0.342,0.0015918077587368505
queryseq,finding,budget,4,3,-0.000608898928203941,-0.0014194882544872325,0.0002158910763834087,0.18133333333333335,0.00046440805866569977
queryseq,label_id,avail,T2cor,3,-0.0006468094609129699,-0.001646125787034364,0.0003639992073316347,0.24466666666666667,0.0005481132811990042
queryseq,label_id,avail,FLAIRax,3,-0.0006123687967046166,-0.0015106731156246621,0.000307744408085137,0.282,0.0007282071236667769
queryseq,label_id,avail,T2ax,3,-9.932676345315084e-05,-0.0009070719156802297,0.0007114332259535484,0.49733333333333335,0.0005504211083944328
queryseq,label_id,avail,T1ax,3,-0.0006129900661964512,-0.0016572961023837254,0.000396743446920423,0.19733333333333336,0.0005293103335856136
queryseq,label_id,avail,FLAIRax+T2cor,3,-0.00041137895429342554,-0.001245605587826338,0.0004389347292603619,0.2233333333333333,0.0003104377691815585
queryseq,label_id,avail,T2ax+T2cor,3,-0.0004107915972062343,-0.0012638163472361399,0.0004451132257987885,0.32466666666666666,0.0006346549290892985
queryseq,label_id,avail,T2ax+FLAIRax,3,-0.000288833274151771,-0.0010837107080289641,0.0004967872098034888,0.2993333333333333,0.000343258307222831
queryseq,label_id,avail,T1ax+T2cor,3,-0.000467742382169323,-0.001436810677114625,0.0005380935802317552,0.332,0.0006894468919436698
queryseq,label_id,avail,T1ax+FLAIRax,3,-0.0003816280790732535,-0.0013237554350166538,0.0005407710508243963,0.29000000000000004,0.0005017887767428985
queryseq,label_id,avail,T1ax+T2ax,3,-0.00013365278309705235,-0.0009725590034895056,0.0007294584021672921,0.5139999999999999,0.0006668074490008071
queryseq,label_id,avail,T2ax+FLAIRax+T2cor,3,-0.00040116917345563743,-0.0012322770338206585,0.0003455403165130745,0.2986666666666667,0.00047693836881178053
queryseq,label_id,avail,T1ax+FLAIRax+T2cor,3,-0.0004991569361607657,-0.0013864736348984357,0.00035223916514783563,0.18400000000000002,0.00035998958227833374
queryseq,label_id,avail,T1ax+T2ax+T2cor,3,-0.00026904486866362066,-0.0011316915019167631,0.0005767762948560911,0.38200000000000006,0.0005646339112585689
queryseq,label_id,avail,T1ax+T2ax+FLAIRax,3,-0.0002457624868085883,-0.0010450443468107919,0.000604903532796252,0.414,0.00047890710039345965
queryseq,label_id,avail,T1ax+T2ax+FLAIRax+T2cor,3,-0.0003911383039435326,-0.001223782152531867,0.00040029061498811125,0.27066666666666667,0.0003911526542692557
queryseq,label_id,budget,1,3,0.0009026129982274535,-0.0051637464299882216,0.006693652509570452,0.5966666666666667,0.002188134912519742
queryseq,label_id,budget,2,3,0.00017706890692377364,-0.0013116644225083594,0.001654337415903048,0.5346666666666666,0.0003611221560293788
queryseq,label_id,budget,3,3,-0.0009706955107724041,-0.00439330048480907,0.0021599963030420025,0.35666666666666663,0.0016567484409732366
queryseq,label_id,budget,4,3,-0.0006131820385454589,-0.0014391303117351458,0.0001898769642044391,0.138,0.00041504299680915775
