finding,n_pos,auroc,auprc,method,seed,axis,subset,k,budget
Cerebral infarction,42,0.9139040982246557,0.2973457487747536,uniform,0,availability,T2ax+FLAIRax,2,-1
Demyelinating disease of central nervous system,21,0.7752485609628467,0.13110472271223195,uniform,0,availability,T2ax+FLAIRax,2,-1
Lacunar infarct,21,0.914606227106227,0.16294859178881538,uniform,0,availability,T2ax+FLAIRax,2,-1
Gliosis,451,0.7686298154847576,0.5970472444180304,uniform,0,availability,T2ax+FLAIRax,2,-1
Cerebral atrophy,213,0.9542327806501457,0.7735630297877616,uniform,0,availability,T2ax+FLAIRax,2,-1
Encephalomalacia,25,0.8862258953168044,0.1432086253466187,uniform,0,availability,T2ax+FLAIRax,2,-1
Arachnoid cyst,69,0.7227849143610013,0.12592606164012565,uniform,0,availability,T2ax+FLAIRax,2,-1
Empty sella syndrome,82,0.7033132266806539,0.1586715745713864,uniform,0,availability,T2ax+FLAIRax,2,-1
Cerebral edema,23,0.8364332276777705,0.18698218629351282,uniform,0,availability,T2ax+FLAIRax,2,-1
Mastoiditis,23,0.6345912325817834,0.055681902517820625,uniform,0,availability,T2ax+FLAIRax,2,-1
Chronic mastoiditis,37,0.7451951951951952,0.06030198856341325,uniform,0,availability,T2ax+FLAIRax,2,-1
Ventriculomegaly,131,0.8914283769835419,0.48956998487602177,uniform,0,availability,T2ax+FLAIRax,2,-1
Cerebellar degeneration,43,0.8930459602348286,0.30803761387211687,uniform,0,availability,T2ax+FLAIRax,2,-1
Mega cisterna magna,23,0.7855391423957898,0.06116818519858971,uniform,0,availability,T2ax+FLAIRax,2,-1
Structure of cave of septum pellucidum,22,0.6847547641362074,0.044631942264307695,uniform,0,availability,T2ax+FLAIRax,2,-1
Cerebral infarction,42,0.9145677783308446,0.3631427919479235,uniform,0,availability,T1ax+T2cor,2,-1
Demyelinating disease of central nervous system,21,0.7541535845107274,0.12335002905728858,uniform,0,availability,T1ax+T2cor,2,-1
Lacunar infarct,21,0.907574568288854,0.1842056843279129,uniform,0,availability,T1ax+T2cor,2,-1
Gliosis,451,0.7768290521820688,0.6099798782602348,uniform,0,availability,T1ax+T2cor,2,-1
Cerebral atrophy,213,0.953103642954775,0.7746164972192109,uniform,0,availability,T1ax+T2cor,2,-1
Encephalomalacia,25,0.8622038567493113,0.16964387411748025,uniform,0,availability,T1ax+T2cor,2,-1
