finding,n_pos,auroc,auprc,method,seed,axis,subset,k,budget
Ventriculomegaly,64,0.8890977443609023,0.41896429263405605,queryseq,0,availability,FLAIRax+FLAIRsag,2,-1
Cerebellar degeneration,39,0.8509206467894196,0.29640008015173064,queryseq,0,availability,FLAIRax+FLAIRsag,2,-1
Mega cisterna magna,22,0.6175865800865801,0.036454831733766006,queryseq,0,availability,FLAIRax+FLAIRsag,2,-1
Cerebral infarction,26,0.8462918660287081,0.22244165202302327,queryseq,0,availability,T2ax+SWIax,2,-1
Cerebral hemorrhage,20,0.8592636579572446,0.15851094211051617,queryseq,0,availability,T2ax+SWIax,2,-1
Gliosis,284,0.7221904088893221,0.5429253942686659,queryseq,0,availability,T2ax+SWIax,2,-1
Cerebral atrophy,102,0.9187822497420021,0.6421879089393042,queryseq,0,availability,T2ax+SWIax,2,-1
Arachnoid cyst,43,0.7015929806627481,0.0872538692673752,queryseq,0,availability,T2ax+SWIax,2,-1
Empty sella syndrome,45,0.6346797225622195,0.09724010833468769,queryseq,0,availability,T2ax+SWIax,2,-1
Cyst of pineal gland,21,0.7860257063586433,0.07088448367247734,queryseq,0,availability,T2ax+SWIax,2,-1
Cerebral edema,43,0.8864184910696538,0.4181936019470595,queryseq,0,availability,T2ax+SWIax,2,-1
Mastoiditis,22,0.648051948051948,0.048644237645598935,queryseq,0,availability,T2ax+SWIax,2,-1
Ventriculomegaly,64,0.8858474310776943,0.4037762106134193,queryseq,0,availability,T2ax+SWIax,2,-1
Cerebellar degeneration,39,0.8310433996946757,0.2794737463685329,queryseq,0,availability,T2ax+SWIax,2,-1
Mega cisterna magna,22,0.6150432900432901,0.038386099291533235,queryseq,0,availability,T2ax+SWIax,2,-1
Cerebral infarction,26,0.8487302171512698,0.2688042473805669,queryseq,0,availability,T2ax+FLAIRsag,2,-1
Cerebral hemorrhage,20,0.870605700712589,0.1742049753036428,queryseq,0,availability,T2ax+FLAIRsag,2,-1
Gliosis,284,0.7252119986354111,0.5555046146709269,queryseq,0,availability,T2ax+FLAIRsag,2,-1
Cerebral atrophy,102,0.930701754385965,0.6898643595703228,queryseq,0,availability,T2ax+FLAIRsag,2,-1
Arachnoid cyst,43,0.7010818638725616,0.11495588005813046,queryseq,0,availability,T2ax+FLAIRsag,2,-1
Empty sella syndrome,45,0.6511627906976745,0.09023997065118063,queryseq,0,availability,T2ax+FLAIRsag,2,-1
Cyst of pineal gland,21,0.7557329709529471,0.05577125189409934,queryseq,0,availability,T2ax+FLAIRsag,2,-1
Cerebral edema,43,0.897606269699293,0.4462385889926642,queryseq,0,availability,T2ax+FLAIRsag,2,-1
Mastoiditis,22,0.6869047619047619,0.052236705442572876,queryseq,0,availability,T2ax+FLAIRsag,2,-1
Ventriculomegaly,64,0.8918193922305764,0.42395817071543385,queryseq,0,availability,T2ax+FLAIRsag,2,-1
Cerebellar degeneration,39,0.8345328223821541,0.2878861995765402,queryseq,0,availability,T2ax+FLAIRsag,2,-1
Mega cisterna magna,22,0.5817640692640692,0.03139869913709342,queryseq,0,availability,T2ax+FLAIRsag,2,-1
Cerebral infarction,26,0.8425653294074347,0.33204481348565873,queryseq,0,availability,T2ax+FLAIRax,2,-1
Cerebral hemorrhage,20,0.8601543942992874,0.14905298381879017,queryseq,0,availability,T2ax+FLAIRax,2,-1
Gliosis,284,0.7216604123007944,0.5622320609952686,queryseq,0,availability,T2ax+FLAIRax,2,-1
Cerebral atrophy,102,0.9369969040247679,0.7064014711651206,queryseq,0,availability,T2ax+FLAIRax,2,-1
Arachnoid cyst,43,0.717324019649601,0.10711931766472252,queryseq,0,availability,T2ax+FLAIRax,2,-1
Empty sella syndrome,45,0.6434108527131783,0.0871596860964206,queryseq,0,availability,T2ax+FLAIRax,2,-1
Cyst of pineal gland,21,0.7663212728611064,0.06503656457407153,queryseq,0,availability,T2ax+FLAIRax,2,-1
Cerebral edema,43,0.9045631371212767,0.5160122436742537,queryseq,0,availability,T2ax+FLAIRax,2,-1
Mastoiditis,22,0.6746212121212122,0.051469479730297876,queryseq,0,availability,T2ax+FLAIRax,2,-1
Ventriculomegaly,64,0.8970864661654135,0.42177561121836943,queryseq,0,availability,T2ax+FLAIRax,2,-1
Cerebellar degeneration,39,0.8510764245879677,0.2815476972453726,queryseq,0,availability,T2ax+FLAIRax,2,-1
Mega cisterna magna,22,0.6380952380952382,0.03712211086634451,queryseq,0,availability,T2ax+FLAIRax,2,-1
Cerebral infarction,26,0.8429333824070666,0.21372999808770013,queryseq,0,availability,T1ax+SWIax,2,-1
Cerebral hemorrhage,20,0.8673396674584324,0.1644437384692251,queryseq,0,availability,T1ax+SWIax,2,-1
Gliosis,284,0.707393147814221,0.5408071717348101,queryseq,0,availability,T1ax+SWIax,2,-1
Cerebral atrophy,102,0.8979747162022704,0.5927431770610239,queryseq,0,availability,T1ax+SWIax,2,-1
Arachnoid cyst,43,0.6808359599057273,0.08164938119696491,queryseq,0,availability,T1ax+SWIax,2,-1
Empty sella syndrome,45,0.6181694546443628,0.08692579344947696,queryseq,0,availability,T1ax+SWIax,2,-1
Cyst of pineal gland,21,0.7603759696506426,0.0771738577046912,queryseq,0,availability,T1ax+SWIax,2,-1
Cerebral edema,43,0.9003038305363886,0.5175707341287898,queryseq,0,availability,T1ax+SWIax,2,-1
Mastoiditis,22,0.6526515151515151,0.04325320958612071,queryseq,0,availability,T1ax+SWIax,2,-1
Ventriculomegaly,64,0.8749608395989975,0.3838693637938931,queryseq,0,availability,T1ax+SWIax,2,-1
Cerebellar degeneration,39,0.8234414431255257,0.21617063364603417,queryseq,0,availability,T1ax+SWIax,2,-1
Mega cisterna magna,22,0.589556277056277,0.03954104905376137,queryseq,0,availability,T1ax+SWIax,2,-1
Cerebral infarction,26,0.8362624217887376,0.28245232112012886,queryseq,0,availability,T1ax+FLAIRsag,2,-1
Cerebral hemorrhage,20,0.8606294536817102,0.1851833568981754,queryseq,0,availability,T1ax+FLAIRsag,2,-1
Gliosis,284,0.7073444124957358,0.5647320443708317,queryseq,0,availability,T1ax+FLAIRsag,2,-1
Cerebral atrophy,102,0.9197626418988649,0.690464917469304,queryseq,0,availability,T1ax+FLAIRsag,2,-1
Arachnoid cyst,43,0.6848681034727546,0.13666082634738985,queryseq,0,availability,T1ax+FLAIRsag,2,-1
Empty sella syndrome,45,0.6474364205086358,0.08282210671486881,queryseq,0,availability,T1ax+FLAIRsag,2,-1
Cyst of pineal gland,21,0.7378970613215559,0.061997980808450315,queryseq,0,availability,T1ax+FLAIRsag,2,-1
Cerebral edema,43,0.9032001590141125,0.4984962774292007,queryseq,0,availability,T1ax+FLAIRsag,2,-1
Mastoiditis,22,0.6991341991341992,0.052047128298422264,queryseq,0,availability,T1ax+FLAIRsag,2,-1
Ventriculomegaly,64,0.8774083646616542,0.3974150947884815,queryseq,0,availability,T1ax+FLAIRsag,2,-1
Cerebellar degeneration,39,0.8173037978627287,0.29616615963571746,queryseq,0,availability,T1ax+FLAIRsag,2,-1
Mega cisterna magna,22,0.5478354978354978,0.047539597387384114,queryseq,0,availability,T1ax+FLAIRsag,2,-1
Cerebral infarction,26,0.8383327199116672,0.3267417118678324,queryseq,0,availability,T1ax+FLAIRax,2,-1
Cerebral hemorrhage,20,0.8586104513064132,0.157828747944054,queryseq,0,availability,T1ax+FLAIRax,2,-1
Gliosis,284,0.7101893367123154,0.5702998512363828,queryseq,0,availability,T1ax+FLAIRax,2,-1
Cerebral atrophy,102,0.9321207430340558,0.7070870542498058,queryseq,0,availability,T1ax+FLAIRax,2,-1
Arachnoid cyst,43,0.7060794502654968,0.10977012743187425,queryseq,0,availability,T1ax+FLAIRax,2,-1
