seed,lattice,n_candidates,frac_patients,n_studies,rep,naive,crossfit,optimism
0,null,2,0.5,6209,0,0.5166879690862001,0.5055934124524298,0.011094556633770236
0,real,2,0.5,6192,1,0.7722214840421564,0.765897891140195,0.0063235929019613835
0,null,2,0.5,6192,1,0.5229759666018727,0.5090368064361207,0.01393916016575203
0,real,2,0.5,6192,2,0.7707796601934581,0.7637708571975682,0.007008802995889907
0,null,2,0.5,6192,2,0.5154048477812446,0.510269842883708,0.005135004897536599
0,real,2,0.5,6216,3,0.7666712699034253,0.7535372015377367,0.013134068365688534
0,null,2,0.5,6216,3,0.5113950447312255,0.4970914167056057,0.014303628025619852
0,real,2,0.5,6194,4,0.7742636708103466,0.7669347522527084,0.0073289185576382865
0,null,2,0.5,6194,4,0.5055257403475595,0.4879240489945995,0.01760169135295997
0,real,2,0.5,6215,5,0.7603099601220169,0.7499732077252115,0.010336752396805426
0,null,2,0.5,6215,5,0.503395803350419,0.49490280187528446,0.008493001475134543
0,real,2,1.0,12412,0,0.7692203427544189,0.763793564267363,0.005426778487055861
0,null,2,1.0,12412,0,0.5073284805101506,0.49394610773849423,0.013382372771656326
0,real,2,1.0,12412,1,0.772872267121544,0.7668972807435662,0.005974986377977776
0,null,2,1.0,12412,1,0.508581284560687,0.5001128833952586,0.008468401165428352
0,real,2,1.0,12412,2,0.7584145982471034,0.7562766950565201,0.002137903190583379
0,null,2,1.0,12412,2,0.5071441226083275,0.5030296784255214,0.004114444182806154
0,real,2,1.0,12412,3,0.7735068501169012,0.7700230054480169,0.003483844668884295
0,null,2,1.0,12412,3,0.5062090639870569,0.49670262047721214,0.009506443509844753
0,real,2,1.0,12412,4,0.7759823393566215,0.7713901963445395,0.004592143012081995
0,null,2,1.0,12412,4,0.5017407841717367,0.4922173867313614,0.009523397440375336
0,real,2,1.0,12412,5,0.7601113677617467,0.7466317353431844,0.013479632418562315
0,null,2,1.0,12412,5,0.508930784832036,0.49504153658461136,0.013889248247424657
0,real,4,0.1,1251,0,0.820203073975317,0.7866179992147678,0.03358507476054917
0,null,4,0.1,1251,0,0.5174517964030753,0.4620545893959059,0.05539720700716938
0,real,4,0.1,1232,1,0.7786692876972091,0.758067863183143,0.020601424514066102
0,null,4,0.1,1232,1,0.5723517394002006,0.5148578948378051,0.05749384456239548
0,real,4,0.1,1240,2,0.8186076802276946,0.7901845511274315,0.028423129100263123
0,null,4,0.1,1240,2,0.5488590205070694,0.5254095888223798,0.023449431684689603
0,real,4,0.1,1234,3,0.8215808849812125,0.7761208701418975,0.045460014839315055
0,null,4,0.1,1234,3,0.5824146464568276,0.5209653048730294,0.06144934158379822
0,real,4,0.1,1237,4,0.7890514155618839,0.7693039086849425,0.01974750687694138
0,null,4,0.1,1237,4,0.5653824490241706,0.5147587819328752,0.0506236670912954
0,real,4,0.1,1243,5,0.8107221294757962,0.7814454123275131,0.02927671714828317
0,null,4,0.1,1243,5,0.560149541816829,0.5083284229603274,0.051821118856501536
0,real,4,0.25,3087,0,0.8123317495921254,0.7809945089916278,0.031337240600497585
0,null,4,0.25,3087,0,0.5316085202281617,0.48259649005564215,0.049012030172519594
0,real,4,0.25,3094,1,0.779871626323224,0.744220750541859,0.035650875781365055
0,null,4,0.25,3094,1,0.5491572033272177,0.5191408738080144,0.0300163295192033
0,real,4,0.25,3117,2,0.8073798316856812,0.7765342147137465,0.030845616971934664
0,null,4,0.25,3117,2,0.5219191255346337,0.47508844656639737,0.04683067896823634
0,real,4,0.25,3094,3,0.7712301116910211,0.7478736419989784,0.023356469692042636
0,null,4,0.25,3094,3,0.5194680232649507,0.4814969014427022,0.03797112182224849
0,real,4,0.25,3100,4,0.7763799280800604,0.73332192062315,0.04305800745691035
0,null,4,0.25,3100,4,0.5301937686736875,0.49876822536790294,0.031425543305784565
0,real,4,0.25,3097,5,0.8113901382486182,0.7868525893224613,0.024537548926156894
0,null,4,0.25,3097,5,0.5287393218849711,0.4885425163454833,0.04019680553948779
0,real,4,0.5,6188,0,0.7940058437971176,0.7768755653269583,0.017130278470159244
0,null,4,0.5,6188,0,0.5091067318917797,0.48657475919434323,0.022531972697436453
0,real,4,0.5,6204,1,0.774934560666408,0.7517300174686462,0.023204543197761773
0,null,4,0.5,6204,1,0.527369953815463,0.502312689474547,0.02505726434091604
0,real,4,0.5,6226,2,0.7813238003130114,0.7598595293010795,0.021464271011931935
0,null,4,0.5,6226,2,0.5291046805538765,0.5111291282193143,0.01797555233456216
0,real,4,0.5,6187,3,0.7793676883635974,0.7623266739449468,0.01704101441865058
0,null,4,0.5,6187,3,0.5231447901089459,0.501662525347054,0.021482264761891856
0,real,4,0.5,6214,4,0.762153425634172,0.7458908529368264,0.016262572697345545
0,null,4,0.5,6214,4,0.5133521229771537,0.4987276721771016,0.014624450800052091
0,real,4,0.5,6187,5,0.794909936018507,0.7812396455306174,0.013670290487889591
0,null,4,0.5,6187,5,0.5334616411136658,0.5139527749856293,0.019508866128036484
