a,b,axis,condition,n_seeds,delta,ci_lo,ci_hi,p_sign,seed_sd
queryseq,finding,budget,2,3,0.0011773648772244114,-0.005486404914460602,0.007712739618458007,0.6446666666666667,0.0017381890046290283
queryseq,finding,budget,3,3,0.002193532880137066,-0.0037416200762611005,0.008392415081551441,0.7573333333333333,0.0019122874702135336
queryseq,finding,budget,4,3,0.0003271882480792453,-0.004601473072254871,0.00533780631760697,0.6293333333333334,0.002124112449751905
queryseq,label_id,avail,T2cor,3,0.0027730237334820836,-0.0022449043810685706,0.008009775485702987,0.8353333333333334,0.0008037710930474162
queryseq,label_id,avail,FLAIRax,3,0.00010919262212179526,-0.004260503843940192,0.004502376108734058,0.5133333333333333,0.0014376172566130834
queryseq,label_id,avail,T2ax,3,0.005058208367880069,0.0005100907643881807,0.009695438575860074,0.964,0.001250109037149458
queryseq,label_id,avail,T1ax,3,0.0028615027082159717,-0.0027420297973929993,0.008230748863696315,0.8106666666666666,0.0014911760892364887
queryseq,label_id,avail,FLAIRax+T2cor,3,0.0002680519497032812,-0.004780960439634682,0.005312278969845195,0.5653333333333334,0.001819817768333098
queryseq,label_id,avail,T2ax+T2cor,3,0.004242845736625117,-0.0006782650306980478,0.008662451659583119,0.9566666666666667,0.0004771167257842182
queryseq,label_id,avail,T2ax+FLAIRax,3,0.0019304025058628303,-0.0028089963170887175,0.006619560613487933,0.7053333333333334,0.0022355479188086464
queryseq,label_id,avail,T1ax+T2cor,3,0.0009862311727555709,-0.004364155040074216,0.006171466575746545,0.652,0.0012204467023332992
queryseq,label_id,avail,T1ax+FLAIRax,3,0.0009492303988150722,-0.0038545155082662266,0.005774141959245614,0.6313333333333334,0.00121760186141841
queryseq,label_id,avail,T1ax+T2ax,3,0.003343593614645392,-0.0017138991799919038,0.00809510280971233,0.8793333333333333,0.001494083459481636
queryseq,label_id,avail,T2ax+FLAIRax+T2cor,3,0.0018121500434097266,-0.0027991451206378555,0.006389025702745961,0.7086666666666667,0.0019955688043139705
queryseq,label_id,avail,T1ax+FLAIRax+T2cor,3,0.00040641102368032324,-0.004332756791885893,0.005268725509070658,0.5753333333333334,0.001161160721315048
queryseq,label_id,avail,T1ax+T2ax+T2cor,3,0.002569061758509221,-0.002102912962289815,0.0072390977264486225,0.8353333333333333,0.0011811612983288885
queryseq,label_id,avail,T1ax+T2ax+FLAIRax,3,0.0016213019953953123,-0.0029075561566433727,0.00612304404124295,0.706,0.0017964854758049582
queryseq,label_id,avail,T1ax+T2ax+FLAIRax+T2cor,3,0.0013811725117048451,-0.003086569493529215,0.005870777158174766,0.6599999999999999,0.0016864076261452255
queryseq,label_id,budget,1,3,0.002255994307802897,-0.004941946066359272,0.009151644156013723,0.6506666666666666,0.005593089648749969
queryseq,label_id,budget,2,3,0.002136959780876206,-0.00368364773454643,0.007833539035618604,0.6613333333333333,0.0031387693353293654
queryseq,label_id,budget,3,3,0.002839092322019,-0.002284641923024283,0.008378955535963526,0.8380000000000001,0.0009050757364690496
queryseq,label_id,budget,4,3,0.002092416649436759,-0.0021828468384432094,0.006011485306704014,0.82,0.0007216813561011792
