finding,n_pos,auroc,auprc,method,seed,axis,subset,k,budget
Cerebral edema,43,0.916006474146009,0.503000588520664,uniform,0,availability,FLAIRax+SWIax,2,-1
Mastoiditis,22,0.6252164502164502,0.07387734556447847,uniform,0,availability,FLAIRax+SWIax,2,-1
Ventriculomegaly,64,0.8794447055137844,0.40585397404946877,uniform,0,availability,FLAIRax+SWIax,2,-1
Cerebellar degeneration,39,0.8546593139545752,0.2711933946526668,uniform,0,availability,FLAIRax+SWIax,2,-1
Mega cisterna magna,22,0.6428571428571428,0.04323766505689264,uniform,0,availability,FLAIRax+SWIax,2,-1
Cerebral infarction,26,0.8285333087964667,0.2726179923603631,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
Cerebral hemorrhage,20,0.8688242280285037,0.1733574419651456,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
Gliosis,284,0.7172437740630635,0.5713499681635825,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
Cerebral atrophy,102,0.9367518059855522,0.6931132803419612,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
Arachnoid cyst,43,0.6948916716358577,0.11663398489721258,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
Empty sella syndrome,45,0.625078199374405,0.07742416908362068,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
Cyst of pineal gland,21,0.7508068625785629,0.08170037903000235,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
Cerebral edema,43,0.9106681432262826,0.4801040367876348,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
Mastoiditis,22,0.6813311688311688,0.06325154718207078,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
Ventriculomegaly,64,0.8837719298245614,0.41426788604800324,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
Cerebellar degeneration,39,0.840265445368726,0.3019989836582604,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
Mega cisterna magna,22,0.5636904761904762,0.03301623944914714,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
Cerebral infarction,26,0.840264998159735,0.20770673231519002,uniform,0,availability,T2ax+SWIax,2,-1
Cerebral hemorrhage,20,0.8653800475059382,0.1548707472346545,uniform,0,availability,T2ax+SWIax,2,-1
Gliosis,284,0.7229945416443297,0.5442880594641751,uniform,0,availability,T2ax+SWIax,2,-1
Cerebral atrophy,102,0.913686790505676,0.5929704184159288,uniform,0,availability,T2ax+SWIax,2,-1
Arachnoid cyst,43,0.6921657154215294,0.09272255887022135,uniform,0,availability,T2ax+SWIax,2,-1
Empty sella syndrome,45,0.6347885216918265,0.08685666007413659,uniform,0,availability,T2ax+SWIax,2,-1
Cyst of pineal gland,21,0.765018968348338,0.06322274240902857,uniform,0,availability,T2ax+SWIax,2,-1
Cerebral edema,43,0.8867876309736775,0.4427138714612119,uniform,0,availability,T2ax+SWIax,2,-1
Mastoiditis,22,0.6362012987012987,0.10673478435426546,uniform,0,availability,T2ax+SWIax,2,-1
Ventriculomegaly,64,0.8829887218045113,0.40289754821772583,uniform,0,availability,T2ax+SWIax,2,-1
Cerebellar degeneration,39,0.8391438452191794,0.27467785255500177,uniform,0,availability,T2ax+SWIax,2,-1
Mega cisterna magna,22,0.6214826839826839,0.03589628194369767,uniform,0,availability,T2ax+SWIax,2,-1
Cerebral infarction,26,0.8395288921604711,0.2555003929841949,uniform,0,availability,T2ax+FLAIRsag,2,-1
Cerebral hemorrhage,20,0.8657957244655582,0.1683699395387155,uniform,0,availability,T2ax+FLAIRsag,2,-1
Gliosis,284,0.7254739509722696,0.5603129755399764,uniform,0,availability,T2ax+FLAIRsag,2,-1
Cerebral atrophy,102,0.9270897832817337,0.6577703437932566,uniform,0,availability,T2ax+FLAIRsag,2,-1
Arachnoid cyst,43,0.6911150864639237,0.09117567998426636,uniform,0,availability,T2ax+FLAIRsag,2,-1
Empty sella syndrome,45,0.6390860873113015,0.08028615693279617,uniform,0,availability,T2ax+FLAIRsag,2,-1
Cyst of pineal gland,21,0.7753241605798086,0.06653243096710164,uniform,0,availability,T2ax+FLAIRsag,2,-1
Cerebral edema,43,0.8916432404804499,0.426784167624354,uniform,0,availability,T2ax+FLAIRsag,2,-1
Mastoiditis,22,0.6918290043290043,0.0673270948884906,uniform,0,availability,T2ax+FLAIRsag,2,-1
Ventriculomegaly,64,0.8910361842105263,0.42401321580813717,uniform,0,availability,T2ax+FLAIRsag,2,-1
Cerebellar degeneration,39,0.8342212667850578,0.33100485282511183,uniform,0,availability,T2ax+FLAIRsag,2,-1
Mega cisterna magna,22,0.5450757575757575,0.02811140359987686,uniform,0,availability,T2ax+FLAIRsag,2,-1
Cerebral infarction,26,0.8374125874125874,0.28513556766928105,uniform,0,availability,T2ax+FLAIRax,2,-1
Cerebral hemorrhage,20,0.8650237529691212,0.15778632895787925,uniform,0,availability,T2ax+FLAIRax,2,-1
Gliosis,284,0.723311321214484,0.5663581104741255,uniform,0,availability,T2ax+FLAIRax,2,-1
Cerebral atrophy,102,0.9340557275541795,0.6887231561689976,uniform,0,availability,T2ax+FLAIRax,2,-1
Arachnoid cyst,43,0.6980719538859074,0.09567717421934202,uniform,0,availability,T2ax+FLAIRax,2,-1
Empty sella syndrome,45,0.6211886304909562,0.08160645724644737,uniform,0,availability,T2ax+FLAIRax,2,-1
Cyst of pineal gland,21,0.7539776909574769,0.06280121055389297,uniform,0,availability,T2ax+FLAIRax,2,-1
Cerebral edema,43,0.896300082346594,0.4697058405625727,uniform,0,availability,T2ax+FLAIRax,2,-1
Mastoiditis,22,0.6475108225108225,0.06632536383163903,uniform,0,availability,T2ax+FLAIRax,2,-1
Ventriculomegaly,64,0.896890664160401,0.4102170882051952,uniform,0,availability,T2ax+FLAIRax,2,-1
Cerebellar degeneration,39,0.8581487366420538,0.31076511536326645,uniform,0,availability,T2ax+FLAIRax,2,-1
Mega cisterna magna,22,0.6348484848484849,0.036422448122825926,uniform,0,availability,T2ax+FLAIRax,2,-1
Cerebral infarction,26,0.8445436142804563,0.2326527079229133,uniform,0,availability,T1ax+SWIax,2,-1
Cerebral hemorrhage,20,0.8675771971496437,0.1649513907102819,uniform,0,availability,T1ax+SWIax,2,-1
Gliosis,284,0.7116879477557385,0.5440037830344889,uniform,0,availability,T1ax+SWIax,2,-1
Cerebral atrophy,102,0.9033410732714138,0.5694015367296463,uniform,0,availability,T1ax+SWIax,2,-1
Arachnoid cyst,43,0.683476729988358,0.0864350066312918,uniform,0,availability,T1ax+SWIax,2,-1
Empty sella syndrome,45,0.6297837617299062,0.08598491005065641,uniform,0,availability,T1ax+SWIax,2,-1
Cyst of pineal gland,21,0.7377838174508804,0.08494793106188385,uniform,0,availability,T1ax+SWIax,2,-1
Cerebral edema,43,0.8959309424425703,0.5131840394329475,uniform,0,availability,T1ax+SWIax,2,-1
Mastoiditis,22,0.642965367965368,0.06901225046277387,uniform,0,availability,T1ax+SWIax,2,-1
Ventriculomegaly,64,0.88218593358396,0.39622425470010186,uniform,0,availability,T1ax+SWIax,2,-1
Cerebellar degeneration,39,0.8335670000311556,0.2473421773745651,uniform,0,availability,T1ax+SWIax,2,-1
Mega cisterna magna,22,0.5834415584415584,0.03449520714155365,uniform,0,availability,T1ax+SWIax,2,-1
Cerebral infarction,26,0.8359863820390137,0.29831064015463016,uniform,0,availability,T1ax+FLAIRsag,2,-1
Cerebral hemorrhage,20,0.8638954869358669,0.18298376777448497,uniform,0,availability,T1ax+FLAIRsag,2,-1
Gliosis,284,0.712150933281349,0.5619714457926478,uniform,0,availability,T1ax+FLAIRsag,2,-1
Cerebral atrophy,102,0.921297729618163,0.6584428815555982,uniform,0,availability,T1ax+FLAIRsag,2,-1
Arachnoid cyst,43,0.6861175000709884,0.0919254348083484,uniform,0,availability,T1ax+FLAIRsag,2,-1
Empty sella syndrome,45,0.6417788657690738,0.07742496675103999,uniform,0,availability,T1ax+FLAIRsag,2,-1
Cyst of pineal gland,21,0.7358020497140592,0.0716607866194756,uniform,0,availability,T1ax+FLAIRsag,2,-1
Cerebral edema,43,0.8989976431836896,0.4762794758608804,uniform,0,availability,T1ax+FLAIRsag,2,-1
Mastoiditis,22,0.7041125541125541,0.060503971986953925,uniform,0,availability,T1ax+FLAIRsag,2,-1
Ventriculomegaly,64,0.8924459586466166,0.4261255551940997,uniform,0,availability,T1ax+FLAIRsag,2,-1
Cerebellar degeneration,39,0.8211359317070132,0.30853347422972466,uniform,0,availability,T1ax+FLAIRsag,2,-1
Mega cisterna magna,22,0.5464285714285715,0.03261406070443646,uniform,0,availability,T1ax+FLAIRsag,2,-1
Cerebral infarction,26,0.8422432830327566,0.3197841132169229,uniform,0,availability,T1ax+FLAIRax,2,-1
Cerebral hemorrhage,20,0.8640736342042756,0.17362890899858843,uniform,0,availability,T1ax+FLAIRax,2,-1
Gliosis,284,0.712839319654954,0.5722162121884726,uniform,0,availability,T1ax+FLAIRax,2,-1
Cerebral atrophy,102,0.9312951496388029,0.6793344849847157,uniform,0,availability,T1ax+FLAIRax,2,-1
Arachnoid cyst,43,0.6885878978902235,0.08946004184234435,uniform,0,availability,T1ax+FLAIRax,2,-1
Empty sella syndrome,45,0.6189038487692099,0.07636591484448102,uniform,0,availability,T1ax+FLAIRax,2,-1
Cyst of pineal gland,21,0.7264028084479928,0.10263125880230403,uniform,0,availability,T1ax+FLAIRax,2,-1
Cerebral edema,43,0.9048470908936024,0.5169544659400391,uniform,0,availability,T1ax+FLAIRax,2,-1
Mastoiditis,22,0.6588203463203464,0.06178996651266213,uniform,0,availability,T1ax+FLAIRax,2,-1
Ventriculomegaly,64,0.8975955513784462,0.43407516246433364,uniform,0,availability,T1ax+FLAIRax,2,-1
Cerebellar degeneration,39,0.855438202947316,0.3058256249705961,uniform,0,availability,T1ax+FLAIRax,2,-1
Mega cisterna magna,22,0.5952380952380952,0.03489673953663938,uniform,0,availability,T1ax+FLAIRax,2,-1
