a,b,axis,condition,n_seeds,delta,ci_lo,ci_hi,p_sign,n_reps
queryseq,uniform,avail,T1ax+FLAIRax+FLAIRsag+SWIax,3,-0.0028565623952673713,-0.007970917028952838,0.002101633699578031,0.1435,2000
queryseq,uniform,avail,T1ax+T2ax+FLAIRsag+SWIax,3,-0.002673223723718717,-0.00747632246606562,0.0019872424586339413,0.136,2000
queryseq,uniform,avail,T1ax+T2ax+FLAIRax+SWIax,3,-0.0007754989922293148,-0.005381977107336577,0.003637495592611363,0.3695,2000
queryseq,uniform,avail,T1ax+T2ax+FLAIRax+FLAIRsag,3,-0.0007898276139932967,-0.004458748024479964,0.003066505687018467,0.321,2000
queryseq,uniform,avail,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,3,-0.001247455052380232,-0.005699353900533554,0.003136340692421546,0.3035,2000
queryseq,uniform,budget,1,3,-0.0057620815992555675,-0.01658403499794373,0.0052535395103960065,0.1595,2000
queryseq,uniform,budget,2,3,0.0014234315018005668,-0.005700296285497942,0.008462143554818802,0.655,2000
queryseq,uniform,budget,3,3,0.002361458706996281,-0.00314961597619994,0.007868630668693475,0.8085,2000
queryseq,uniform,budget,4,3,0.000529151836310415,-0.0033663259280895864,0.004573206413979022,0.6105,2000
queryseq,uniform,budget,5,3,-0.003187835359315516,-0.006686792630326376,0.0003806844941241265,0.0375,2000
queryseq,patient,avail,SWIax,3,-0.005115360730818592,-0.01037354923342113,0.00033483803847165615,0.035,2000
queryseq,patient,avail,FLAIRsag,3,-0.0002760566161500429,-0.005065538445675786,0.004282475354855204,0.4665,2000
queryseq,patient,avail,FLAIRax,3,-0.0008274577569220782,-0.005803554145664465,0.004628796615870446,0.365,2000
queryseq,patient,avail,T2ax,3,0.00016897519262516295,-0.003578265434151575,0.0038201495100561394,0.5265,2000
queryseq,patient,avail,T1ax,3,-0.0056309124303122425,-0.009628472360198623,-0.001450119672674735,0.003,2000
queryseq,patient,avail,FLAIRsag+SWIax,3,-0.0022438487004234065,-0.007970596370094583,0.0034622772412328893,0.2405,2000
queryseq,patient,avail,FLAIRax+SWIax,3,-0.002828299521837842,-0.009459700098609936,0.00398380375370041,0.205,2000
queryseq,patient,avail,FLAIRax+FLAIRsag,3,-0.0038648269743685117,-0.008631017870551427,0.0013359684083044004,0.0595,2000
queryseq,patient,avail,T2ax+SWIax,3,0.001563309398274864,-0.004279874169436907,0.007382820569189062,0.705,2000
queryseq,patient,avail,T2ax+FLAIRsag,3,-0.0026848660923390146,-0.006659303357285647,0.0011996212194373952,0.1055,2000
queryseq,patient,avail,T2ax+FLAIRax,3,-6.443020792987197e-05,-0.0043332462805405455,0.004449584266459956,0.4745,2000
queryseq,patient,avail,T1ax+SWIax,3,-0.0034908858721675873,-0.009570893709792933,0.002931576482429098,0.1425,2000
queryseq,patient,avail,T1ax+FLAIRsag,3,-0.00440494013543189,-0.008778711396884046,9.347320215068033e-05,0.0275,2000
queryseq,patient,avail,T1ax+FLAIRax,3,-0.003733309714704859,-0.008245258095562475,0.0010177632089313838,0.066,2000
queryseq,patient,avail,T1ax+T2ax,3,-0.0018034961980961447,-0.005415981823604642,0.0019611639683218564,0.177,2000
queryseq,patient,avail,FLAIRax+FLAIRsag+SWIax,3,-0.003711854736774505,-0.010014086571906337,0.002634158625680289,0.1355,2000
queryseq,patient,avail,T2ax+FLAIRsag+SWIax,3,-0.0015766082904986169,-0.007479951364555336,0.0039894318104102015,0.3095,2000
queryseq,patient,avail,T2ax+FLAIRax+SWIax,3,-9.86692227169456e-05,-0.006010486711026565,0.005819368979990529,0.4905,2000
queryseq,patient,avail,T2ax+FLAIRax+FLAIRsag,3,-0.0015213021615447582,-0.005521323716132527,0.002757677987515001,0.235,2000
queryseq,patient,avail,T1ax+FLAIRsag+SWIax,3,-0.004584534023222033,-0.010441254845528183,0.0014495154554500021,0.0785,2000
queryseq,patient,avail,T1ax+FLAIRax+SWIax,3,-0.0037065636606009775,-0.009630244928428358,0.0027040557584053384,0.124,2000
queryseq,patient,avail,T1ax+FLAIRax+FLAIRsag,3,-0.004364358100025408,-0.00866626364710342,0.00029512098747042466,0.0355,2000
queryseq,patient,avail,T1ax+T2ax+SWIax,3,-0.0006029740467838452,-0.006275944871372871,0.005067991363819163,0.428,2000
queryseq,patient,avail,T1ax+T2ax+FLAIRsag,3,-0.0025430859482128633,-0.006168554174982139,0.0013579223518507364,0.0995,2000
queryseq,patient,avail,T1ax+T2ax+FLAIRax,3,-0.001148761247786157,-0.005222102830293835,0.0031790044840661435,0.284,2000
queryseq,patient,avail,T2ax+FLAIRax+FLAIRsag+SWIax,3,-0.001401871114978282,-0.006956743537617057,0.0041272048000517095,0.3115,2000
queryseq,patient,avail,T1ax+FLAIRax+FLAIRsag+SWIax,3,-0.004469177983468394,-0.010375523719317504,0.0015623615965708539,0.0765,2000
queryseq,patient,avail,T1ax+T2ax+FLAIRsag+SWIax,3,-0.0022395688561982915,-0.007765034203849457,0.003230396907367379,0.2155,2000
queryseq,patient,avail,T1ax+T2ax+FLAIRax+SWIax,3,-0.001261102475045964,-0.006577903863370382,0.004246112695193553,0.333,2000
queryseq,patient,avail,T1ax+T2ax+FLAIRax+FLAIRsag,3,-0.002258338564367878,-0.006075872266562133,0.0020241707811701616,0.1355,2000
queryseq,patient,avail,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,3,-0.0021564617130158054,-0.007493703769086189,0.003125932143231801,0.2155,2000
queryseq,patient,budget,1,3,-0.002637725017027137,-0.01359068809423603,0.007663844151035264,0.3075,2000
queryseq,patient,budget,2,3,-0.0010180443973245425,-0.009121333184372773,0.006953279415548293,0.41,2000
queryseq,patient,budget,3,3,0.0001801714972274049,-0.005908834070262284,0.0066199520973974305,0.519,2000
queryseq,patient,budget,4,3,-0.00043246250023267087,-0.005271147716902351,0.004937589879322711,0.433,2000
queryseq,patient,budget,5,3,-0.002574422854777834,-0.006368266015128434,0.0014273645564018287,0.0975,2000
queryseq,finding,avail,SWIax,3,-0.0039007409553503893,-0.01124363659350249,0.003341483427572606,0.1475,2000
queryseq,finding,avail,FLAIRsag,3,-0.00030977840949790594,-0.005690869132704442,0.005406046726977863,0.4755,2000
queryseq,finding,avail,FLAIRax,3,0.0013202801161773584,-0.004364950244534795,0.007376070708357364,0.6765,2000
queryseq,finding,avail,T2ax,3,0.00030945787601599175,-0.004253821467950899,0.00478013774112757,0.556,2000
queryseq,finding,avail,T1ax,3,-0.0026396130411136284,-0.007054864532921603,0.0019100282648615175,0.142,2000
queryseq,finding,avail,FLAIRsag+SWIax,3,-0.002363910182931741,-0.009143388206263574,0.004692964920532824,0.2695,2000
queryseq,finding,avail,FLAIRax+SWIax,3,0.0006886369077908815,-0.0063741795600865715,0.00786623836694695,0.6015,2000
queryseq,finding,avail,FLAIRax+FLAIRsag,3,0.0012631135668415869,-0.004590969308292811,0.007267645734360509,0.6775,2000
queryseq,finding,avail,T2ax+SWIax,3,0.0010082033342248122,-0.005309108139495224,0.0074629312774983445,0.6365,2000
queryseq,finding,avail,T2ax+FLAIRsag,3,-0.0003370675795777032,-0.005573786573094107,0.0052260010300644,0.4525,2000
queryseq,finding,avail,T2ax+FLAIRax,3,0.0017850057819560029,-0.003256224758319082,0.007279996996153782,0.7545,2000
queryseq,finding,avail,T1ax+SWIax,3,-0.002573516179276397,-0.008427576386660189,0.003387298950078128,0.2085,2000
queryseq,finding,avail,T1ax+FLAIRsag,3,-0.00241856984165581,-0.006957284090830247,0.002239276927526539,0.158,2000
queryseq,finding,avail,T1ax+FLAIRax,3,0.00020937095448596432,-0.005065097288733486,0.005604208173132637,0.516,2000
queryseq,finding,avail,T1ax+T2ax,3,-0.00044161641845705864,-0.004781573909319408,0.004102525566086239,0.4315,2000
queryseq,finding,avail,FLAIRax+FLAIRsag+SWIax,3,-0.0006046456302889498,-0.007248355870933005,0.006177118172735064,0.4525,2000
queryseq,finding,avail,T2ax+FLAIRsag+SWIax,3,-5.706239657917497e-06,-0.00633552979861335,0.006426871335738612,0.517,2000
queryseq,finding,avail,T2ax+FLAIRax+SWIax,3,0.0013777162097335278,-0.005063649638090389,0.007934763563550641,0.682,2000
queryseq,finding,avail,T2ax+FLAIRax+FLAIRsag,3,0.0007722961145395008,-0.004171683772615454,0.005854210722717961,0.627,2000
queryseq,finding,avail,T1ax+FLAIRsag+SWIax,3,-0.003360301392699642,-0.009370947811285195,0.002958439191667132,0.1405,2000
queryseq,finding,avail,T1ax+FLAIRax+SWIax,3,-0.00023197990602285504,-0.006201954064855008,0.005809082521254407,0.488,2000
queryseq,finding,avail,T1ax+FLAIRax+FLAIRsag,3,-0.0006931760898815025,-0.005801415824513895,0.00441207291101609,0.3945,2000
queryseq,finding,avail,T1ax+T2ax+SWIax,3,0.0006282938882616821,-0.005082425141392909,0.0063057188606491475,0.604,2000
queryseq,finding,avail,T1ax+T2ax+FLAIRsag,3,-3.253917994462211e-05,-0.004944422985499334,0.004918272980134189,0.4845,2000
queryseq,finding,avail,T1ax+T2ax+FLAIRax,3,0.0011159307612960566,-0.0035866841748240295,0.006099156521393847,0.6705,2000
queryseq,finding,avail,T2ax+FLAIRax+FLAIRsag+SWIax,3,0.0005016243699978286,-0.005766239912555816,0.0067496001454003625,0.592,2000
queryseq,finding,avail,T1ax+FLAIRax+FLAIRsag+SWIax,3,-0.0015621270926576619,-0.0077357614368506605,0.004548165298115363,0.3235,2000
queryseq,finding,avail,T1ax+T2ax+FLAIRsag+SWIax,3,-0.0002380736962610664,-0.006133442039969813,0.0056954586149500636,0.488,2000
queryseq,finding,avail,T1ax+T2ax+FLAIRax+SWIax,3,0.001217391250229013,-0.0045816229837186894,0.006992540667729462,0.685,2000
queryseq,finding,avail,T1ax+T2ax+FLAIRax+FLAIRsag,3,0.0005596487202637858,-0.004176418263235552,0.005321967335254132,0.5815,2000
queryseq,finding,avail,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,3,0.0001488465086156546,-0.005512296326258225,0.0058175494197101685,0.537,2000
queryseq,finding,budget,1,3,-0.00317720142899121,-0.013265840848490064,0.007250539669806356,0.2785,2000
queryseq,finding,budget,2,3,-0.0044766255976927995,-0.013496243477294,0.004106710857505224,0.1645,2000
queryseq,finding,budget,3,3,-0.0020306097314844794,-0.008059482386622246,0.004134272431993858,0.264,2000
queryseq,finding,budget,4,3,-0.0016800320574427523,-0.006779019273774556,0.00322952100191298,0.2605,2000
queryseq,finding,budget,5,3,-0.0015588111843737936,-0.0065179706766542314,0.003461575845465215,0.2775,2000
queryseq,label_id,avail,SWIax,3,-0.003266233848965581,-0.00830481270312757,0.0016832370909519176,0.107,2000
queryseq,label_id,avail,FLAIRsag,3,-0.0010991773183522528,-0.004894284797361145,0.0025931926804738823,0.302,2000
queryseq,label_id,avail,FLAIRax,3,0.0008109062093730993,-0.003637445508767047,0.005306275062971353,0.634,2000
queryseq,label_id,avail,T2ax,3,-0.002473939729445648,-0.005834383189844729,0.0010212746488970207,0.0835,2000
queryseq,label_id,avail,T1ax,3,-0.004614605111294272,-0.008237832079111279,-0.000764006816089751,0.009,2000
queryseq,label_id,avail,FLAIRsag+SWIax,3,-0.0028860325610541304,-0.006614690464492424,0.0010698607510405418,0.084,2000
queryseq,label_id,avail,FLAIRax+SWIax,3,-0.002710809093231872,-0.006982795130552594,0.0015951714554240388,0.1115,2000
queryseq,label_id,avail,FLAIRax+FLAIRsag,3,0.0005292371089453839,-0.004009677881369761,0.004871518963305819,0.615,2000
queryseq,label_id,avail,T2ax+SWIax,3,-0.0004918068961577859,-0.004235664341125485,0.0034141884188320097,0.403,2000
queryseq,label_id,avail,T2ax+FLAIRsag,3,-0.0016156979388753407,-0.006294382846678327,0.002889029882759041,0.2485,2000
queryseq,label_id,avail,T2ax+FLAIRax,3,-0.001332634294447333,-0.005233078041391015,0.0025484077337926164,0.2585,2000
queryseq,label_id,avail,T1ax+SWIax,3,-0.005466358754054833,-0.009461982743134872,-0.0016028597182304394,0.0025,2000
queryseq,label_id,avail,T1ax+FLAIRsag,3,-0.0034223283928791703,-0.0075299476865462005,0.0008616597350301285,0.0585,2000
queryseq,label_id,avail,T1ax+FLAIRax,3,-0.0018387763304081566,-0.00604550495687277,0.0023069720216324224,0.1865,2000
