mode,tau,beta,seed,val,macro_full,macro_avg_subset,macro_worst_subset,macro_k1,worst_k1,macro_k2,worst_k2,gate_mean,gate_spread_over_seq,gate_spread_over_findings,avg_inputs_read
queryseq,1.0,0.0,1,0.7824288494607543,0.7972453975581874,0.7921222507423491,0.777348463111133,0.7928681819102816,0.6758268046169487,0.7954609019667493,0.65534357992943,0.38684937357902527,0.1315251886844635,0.10321930050849915,1.2798953320280335
queryseq,1.0,0.02,0,0.7844830088166315,0.7993200292558917,0.7936798506208184,0.7805648284703859,0.7951906747482756,0.6766939776329167,0.7957074083957049,0.6464027271096227,0.005274212919175625,0.003167135640978813,0.00471423240378499,0.0
queryseq,1.0,0.02,1,0.7836524154693145,0.79397623163998,0.7890375116742214,0.776225906105106,0.7902225439961873,0.6625130821559393,0.7912826414906939,0.6603373004006937,0.006937804631888866,0.0042352695018053055,0.0064421845600008965,3.659719299529726e-05
patient,0.05,0.0,0,0.7837484433952502,0.8005742473557749,0.7954151494993688,0.7821306445862531,0.7954368081036879,0.6497219065845344,0.801323627502296,0.6571377309969499,0.3529573976993561,0.16409410536289215,5.587935447692871e-08,1.071767095463778
patient,0.05,0.0,1,0.7840558213327122,0.7957923575230935,0.7914213997642826,0.7804389247943593,0.7923473660586199,0.65743675617487,0.7930084738761972,0.6495723939955744,0.35999664664268494,0.14885622262954712,3.725290298461914e-08,0.989844278943805
patient,0.05,0.02,0,0.7853219077861446,0.7993568878038654,0.7945701719192734,0.7818730184827043,0.793039110920234,0.6622305529522025,0.7988672299100634,0.6600124960949703,0.0031865737400949,0.0018120715394616127,4.3655745685100555e-10,0.0
patient,0.05,0.02,1,0.7848672028114011,0.7952090192949544,0.7909550795759565,0.7787732422015687,0.7916354939242852,0.6614183067791315,0.7945932703773946,0.6599187753826928,0.004025270696729422,0.0018060804577544332,5.238689482212067e-10,0.0
patient,0.1,0.0,0,0.7837484433952502,0.8005742473557749,0.7954151494993688,0.7821306445862531,0.7954368081036879,0.6497219065845344,0.801323627502296,0.6571377309969499,0.3529573976993561,0.16409410536289215,5.587935447692871e-08,1.071767095463778
patient,0.1,0.0,1,0.7840558213327122,0.7957923575230935,0.7914213997642826,0.7804389247943593,0.7923473660586199,0.65743675617487,0.7930084738761972,0.6495723939955744,0.35999664664268494,0.14885622262954712,3.725290298461914e-08,0.989844278943805
patient,0.1,0.02,0,0.7853219077861446,0.7993568878038654,0.7945701719192734,0.7818730184827043,0.793039110920234,0.6622305529522025,0.7988672299100634,0.6600124960949703,0.0031865737400949,0.0018120715394616127,4.3655745685100555e-10,0.0
