finding,n_pos,pair,context,synergy,synergy_sd_seed
Lacunar infarct,189,FLAIRax|T2cor,T1ax+T2ax,0.004625246791654436,0.004506742758313842
Silent micro-hemorrhage of brain,78,T1ax|T2ax,none,-0.30964802318377793,0.010282612904232564
Silent micro-hemorrhage of brain,78,T1ax|T2ax,FLAIRax,-0.0011115130297877733,0.014807721025388054
Silent micro-hemorrhage of brain,78,T1ax|T2ax,T2cor,0.015888954027432994,0.00364654412774234
Silent micro-hemorrhage of brain,78,T1ax|T2ax,FLAIRax+T2cor,0.008322141977079514,0.0026621600284869023
Silent micro-hemorrhage of brain,78,T1ax|FLAIRax,none,-0.30546217875956805,0.004601860032317536
Silent micro-hemorrhage of brain,78,T1ax|FLAIRax,T2ax,0.0030743313944221104,0.0022374038729940067
Silent micro-hemorrhage of brain,78,T1ax|FLAIRax,T2cor,-0.007089706862692206,0.007060804519601081
Silent micro-hemorrhage of brain,78,T1ax|FLAIRax,T2ax+T2cor,-0.014656518913045683,0.005827173866720586
Silent micro-hemorrhage of brain,78,T1ax|T2cor,none,-0.3120368406974536,0.007074962188059648
Silent micro-hemorrhage of brain,78,T1ax|T2cor,T2ax,0.013500136513757366,0.0032168954860522874
Silent micro-hemorrhage of brain,78,T1ax|T2cor,FLAIRax,-0.013664368800577717,0.015522835249777192
Silent micro-hemorrhage of brain,78,T1ax|T2cor,T2ax+FLAIRax,-0.004230713793710428,0.005054651501281023
Silent micro-hemorrhage of brain,78,T2ax|FLAIRax,none,-0.3281910264032851,0.014163630460405419
Silent micro-hemorrhage of brain,78,T2ax|FLAIRax,T1ax,-0.019654516249294967,0.00911777640198399
Silent micro-hemorrhage of brain,78,T2ax|FLAIRax,T2cor,-0.002225624671708689,0.009767124913650695
Silent micro-hemorrhage of brain,78,T2ax|FLAIRax,T1ax+T2cor,-0.009792436722062167,0.009395353082922038
Silent micro-hemorrhage of brain,78,T2ax|T2cor,none,-0.3470108684353859,0.015877524937154643
Silent micro-hemorrhage of brain,78,T2ax|T2cor,T1ax,-0.021473891224175017,0.0229798539886113
Silent micro-hemorrhage of brain,78,T2ax|T2cor,FLAIRax,-0.021045466703809506,0.008037592002609513
Silent micro-hemorrhage of brain,78,T2ax|T2cor,T1ax+FLAIRax,-0.011611811696942217,0.004883782951046321
Silent micro-hemorrhage of brain,78,FLAIRax|T2cor,none,-0.293874967257487,0.029615885071785704
Silent micro-hemorrhage of brain,78,FLAIRax|T2cor,T1ax,0.004497504639388805,0.018804092765430325
Silent micro-hemorrhage of brain,78,FLAIRax|T2cor,T2ax,0.0320904344740894,0.007453052821207567
Silent micro-hemorrhage of brain,78,FLAIRax|T2cor,T1ax+T2ax,0.014359584166621605,0.0010196233767460214
Cavernous hemangioma,67,T1ax|T2ax,none,-0.08071086447068028,0.0022836715786046886
Cavernous hemangioma,67,T1ax|T2ax,FLAIRax,-0.057991734321507026,0.004203600230611935
Cavernous hemangioma,67,T1ax|T2ax,T2cor,0.04608790796926673,0.007197062954401185
Cavernous hemangioma,67,T1ax|T2ax,FLAIRax+T2cor,-0.01732387072333767,0.004015353449145344
Cavernous hemangioma,67,T1ax|FLAIRax,none,-0.0038084184182368697,0.005022697138623657
Cavernous hemangioma,67,T1ax|FLAIRax,T2ax,0.01891071173093639,0.008627680428079387
Cavernous hemangioma,67,T1ax|FLAIRax,T2cor,0.09412778150559482,0.0024216382625047747
Cavernous hemangioma,67,T1ax|FLAIRax,T2ax+T2cor,0.030716002812990435,0.0009877604275387061
Cavernous hemangioma,67,T1ax|T2cor,none,-0.13931637881874548,0.01944879199485464
Cavernous hemangioma,67,T1ax|T2cor,T2ax,-0.01251760637879847,0.012188788683172653
Cavernous hemangioma,67,T1ax|T2cor,FLAIRax,-0.04138017889491378,0.012374167205344946
Cavernous hemangioma,67,T1ax|T2cor,T2ax+FLAIRax,-0.0007123152967444257,0.004885410715128069
Cavernous hemangioma,67,T2ax|FLAIRax,none,-0.053832095093588404,0.009379716635895808
Cavernous hemangioma,67,T2ax|FLAIRax,T1ax,-0.03111296494441514,0.005508631274824421
Cavernous hemangioma,67,T2ax|FLAIRax,T2cor,0.04323683324970947,0.012315668722672757
Cavernous hemangioma,67,T2ax|FLAIRax,T1ax+T2cor,-0.020174945442894925,0.009866232728682815
Cavernous hemangioma,67,T2ax|T2cor,none,-0.1170629235354214,0.023605480387427175
Cavernous hemangioma,67,T2ax|T2cor,T1ax,0.009735848904525612,0.018492521388534338
Cavernous hemangioma,67,T2ax|T2cor,FLAIRax,-0.019993995192123526,0.016639853569108534
Cavernous hemangioma,67,T2ax|T2cor,T1ax+FLAIRax,0.02067386840604583,0.010200508398637793
Cavernous hemangioma,67,FLAIRax|T2cor,none,-0.0954986106325401,0.00520656565748293
Cavernous hemangioma,67,FLAIRax|T2cor,T1ax,0.002437589291291601,0.0031287098058336046
Cavernous hemangioma,67,FLAIRax|T2cor,T2ax,0.0015703177107577737,0.008063353051732171
Cavernous hemangioma,67,FLAIRax|T2cor,T1ax+T2ax,0.013375608792811819,0.008979639625565564
Subdural intracranial hemorrhage,26,T1ax|T2ax,none,-0.346055513462263,0.03590619708586708
Subdural intracranial hemorrhage,26,T1ax|T2ax,FLAIRax,-0.014813043676276302,0.025497858476748552
