subset,k,finding,n_pos,auroc_mean,auroc_sd_seed,ci_lo,ci_hi
T2ax+FLAIRax,2,Encephalomalacia,236,0.7481761969016324,0.0037253881653222802,0.7165555141215745,0.786485941617553
T2ax+FLAIRax,2,Arachnoid cyst,389,0.728398441975898,0.0023018231871229098,0.6978886401322012,0.7565998831791219
T2ax+FLAIRax,2,Empty sella syndrome,351,0.724029184896987,0.01227215091860126,0.7166935937725643,0.7633622791338672
T2ax+FLAIRax,2,Intracranial aneurysm,61,0.6823064887489781,0.012709978933110516,0.6016635669293252,0.756075325549147
T2ax+FLAIRax,2,Chiari malformation,56,0.771401031227528,0.01861606874710861,0.735495978813367,0.8362140653893548
T2ax+FLAIRax,2,Schwannoma,38,0.721046536705205,0.032502020204832276,0.6173061031874667,0.7257450914664464
T2ax+FLAIRax,2,Cyst of pineal gland,103,0.649946875402789,0.011294323512205082,0.5797734782852145,0.6867753405188506
T2ax+FLAIRax,2,Hemangioma of vertebral column,31,0.5957307394569215,0.012853681383964038,0.4713524130019401,0.6879902903567734
T2ax+FLAIRax,2,Cerebral edema,533,0.8954945387707046,0.0022275950640441755,0.8732150829596718,0.9092476967380294
T2ax+FLAIRax,2,Spinal stenosis,43,0.5780806699000953,0.00999083116405706,0.47768089499652117,0.6636882367967553
T2ax+FLAIRax,2,Mastoiditis,265,0.7535315347345096,0.011316471959734307,0.7102373841942086,0.7646814333810209
T2ax+FLAIRax,2,Chronic mastoiditis,211,0.7831098037474927,0.002648482681970717,0.76222184048607,0.8108469129448252
T2ax+FLAIRax,2,Ventriculomegaly,889,0.8961515408527837,0.002393795504605458,0.8829288043929042,0.9061406848133616
T2ax+FLAIRax,2,Cerebellar degeneration,351,0.8243393760425392,0.004104049751277123,0.7986124104509761,0.8488626696147327
T2ax+FLAIRax,2,Mega cisterna magna,104,0.7397612905808083,0.00588032965565997,0.6911894668277121,0.7887702582910996
T2ax+FLAIRax,2,Structure of cave of septum pellucidum,99,0.7134400819036069,0.010537666579913393,0.6583936834178183,0.7520993666186025
T2ax+FLAIRax,2,Hyperostosis of skull,34,0.7372697770207558,0.013474771402246073,0.6758995317945395,0.8302337828100195
T2ax+FLAIRax,2,Watershed infarct,36,0.8311533452871488,0.0073245230182547895,0.7931563289054393,0.8916103432894835
T2ax+FLAIRax,2,Foraminal Spinal Stenosis,60,0.6432223769896543,0.03138378596947546,0.6301900552421509,0.7302752654537834
T2ax+FLAIRax,2,Lipoma of brain,22,0.5406921094414425,0.04149297761063264,0.5129895753954437,0.7033787380473726
T2ax+FLAIRax,2,Glioma,66,0.774204194837839,0.00534184011782027,0.722523797184014,0.8375040540908744
T2ax+FLAIRax,2,Pituitary adenoma,25,0.4828102761172787,0.01738698178442714,0.35502797147394943,0.6361449793230349
T1ax+FLAIRsag,2,Cerebral infarction,424,0.7929613515035365,0.00015010479867521282,0.7634720121920197,0.813563302045484
T1ax+FLAIRsag,2,Cerebral hemorrhage,294,0.8217044483470936,0.00435417364005764,0.8021536060907788,0.846433866936512
T1ax+FLAIRsag,2,Metastatic malignant neoplasm to brain,373,0.8820406543694977,0.006060671421676754,0.8591532454911852,0.8925118905808735
T1ax+FLAIRsag,2,Intracranial meningioma,181,0.7415620709315819,0.004026457154527655,0.6913206742398001,0.7715558007462251
T1ax+FLAIRsag,2,Demyelinating disease of central nervous system,250,0.7842073717598161,0.0019232418524192643,0.7489359002361463,0.8132395887651173
T1ax+FLAIRsag,2,Herniation of nucleus pulposus,138,0.7406234259063517,0.006646203421861498,0.6982483476224979,0.7702621613416805
T1ax+FLAIRsag,2,Spinal cord compression,74,0.6108222182908308,0.00644158240461638,0.5523695641495301,0.683551343344809
T1ax+FLAIRsag,2,Lacunar infarct,213,0.7956392920583291,0.005224777185566932,0.7757061414435064,0.8334695190061479
T1ax+FLAIRsag,2,Silent micro-hemorrhage of brain,195,0.7335346033976172,0.008259537689728714,0.7069692564155056,0.7798283194349456
T1ax+FLAIRsag,2,Cavernous hemangioma,78,0.524225240972423,0.013036887948976164,0.45245043575259275,0.5736836551050095
T1ax+FLAIRsag,2,Subdural intracranial hemorrhage,44,0.8688601438494473,0.0058852393496683095,0.8363356293025058,0.9162246856537566
T1ax+FLAIRsag,2,Gliosis,3534,0.7729545581944094,0.0031304106956250664,0.7657427571178469,0.7858011207097014
T1ax+FLAIRsag,2,Cerebral atrophy,1310,0.9195208805336743,0.001096713372512738,0.9125851500335912,0.927751596275332
T1ax+FLAIRsag,2,Encephalomalacia,236,0.7625935578289339,0.0009489912896760648,0.7291773291224096,0.7913021084331916
T1ax+FLAIRsag,2,Arachnoid cyst,389,0.7058499564318174,0.007797514348423364,0.6691724708726124,0.7251505829968375
T1ax+FLAIRsag,2,Empty sella syndrome,351,0.7039312479296259,0.0029796738786179084,0.6750899101174299,0.7314660145877213
T1ax+FLAIRsag,2,Intracranial aneurysm,61,0.6255237867704754,0.008200396146802333,0.5330069593304432,0.6992862401079847
T1ax+FLAIRsag,2,Chiari malformation,56,0.6998389025739887,0.01462092897655639,0.6577252199593051,0.7857602313351647
T1ax+FLAIRsag,2,Schwannoma,38,0.7349953585192269,0.027965831882703192,0.6345123244903283,0.7636473272299847
T1ax+FLAIRsag,2,Cyst of pineal gland,103,0.6158633530852328,0.019815372907646532,0.5328674007269573,0.6423472373301438
T1ax+FLAIRsag,2,Hemangioma of vertebral column,31,0.5849401492650453,0.014846506580387032,0.4630380313554315,0.664256483770838
T1ax+FLAIRsag,2,Cerebral edema,533,0.8909051156408422,0.0023540204685065097,0.8746418538978128,0.9055598470896873
