shift,held_out,method,seed,axis,n_test,macro_full,macro_avg_subset,macro_worst_subset,budget,macro_auroc,macro_auprc,worst_finding
vendor,GE,queryseq,1,availability,4187,0.7050200457510375,0.699661522485089,0.6853167339572793,,,,
vendor,GE,queryseq,1,budget,4187,,,,1.0,0.6888619011657657,0.13193550736844809,0.4459020921079887
vendor,GE,queryseq,1,budget,4187,,,,2.0,0.6980155747383698,0.13700514427966906,0.43517029818210506
vendor,GE,queryseq,1,budget,4187,,,,3.0,0.7005162377005931,0.13593443512181336,0.4474655014253164
vendor,GE,queryseq,1,budget,4187,,,,4.0,0.7069199081579575,0.14025884621694298,0.45325554097907894
vendor,GE,uniform,2,availability,4187,0.7150890309727166,0.7093464345147606,0.6944975535654081,,,,
vendor,GE,uniform,2,budget,4187,,,,1.0,0.6944975878123119,0.12291910789333516,0.4372762154644362
vendor,GE,uniform,2,budget,4187,,,,2.0,0.7022976744580737,0.1314135232365154,0.44952209980173796
vendor,GE,uniform,2,budget,4187,,,,3.0,0.7127154877951987,0.14135396196056937,0.4556721673686391
vendor,GE,uniform,2,budget,4187,,,,4.0,0.715089037200817,0.14215145549851466,0.46709935786784507
vendor,GE,patient,2,availability,4187,0.7098397556259324,0.7037815213235047,0.688692158116656,,,,
vendor,GE,patient,2,budget,4187,,,,1.0,0.6972344317115068,0.12877685666314467,0.47478324340852823
vendor,GE,patient,2,budget,4187,,,,2.0,0.705911527073188,0.13133760755396634,0.4802872333080163
vendor,GE,patient,2,budget,4187,,,,3.0,0.7065985349476858,0.1351564224220113,0.46341030370582265
vendor,GE,patient,2,budget,4187,,,,4.0,0.7098715741115028,0.13897260639875958,0.45889269192452237
vendor,GE,finding,2,availability,4187,0.7084129868574748,0.7028683283467042,0.6881958679328524,,,,
vendor,GE,finding,2,budget,4187,,,,1.0,0.6897649249150039,0.13475616422858946,0.44030932817786367
vendor,GE,finding,2,budget,4187,,,,2.0,0.7067350080541476,0.13615162939479153,0.46087038005148895
vendor,GE,finding,2,budget,4187,,,,3.0,0.7092769276386933,0.13900759100002197,0.4642240656533276
vendor,GE,finding,2,budget,4187,,,,4.0,0.7083783982002042,0.1383955748989759,0.47893096339550806
vendor,GE,label_id,2,availability,4187,0.7093072474050869,0.7044326207792518,0.6923719780461804,,,,
vendor,GE,label_id,2,budget,4187,,,,1.0,0.6900613308153495,0.13181134147920068,0.4618271668261311
vendor,GE,label_id,2,budget,4187,,,,2.0,0.7055424950091462,0.13602772008522082,0.4648898708831043
vendor,GE,label_id,2,budget,4187,,,,3.0,0.7059464532812819,0.13736776246587715,0.4654052534498575
vendor,GE,label_id,2,budget,4187,,,,4.0,0.7111378670343966,0.14055259148535912,0.48054369161874516
vendor,GE,queryseq,2,availability,4187,0.7005445741323535,0.6947861647688326,0.6822555013522134,,,,
vendor,GE,queryseq,2,budget,4187,,,,1.0,0.6834316643218149,0.1298427321660703,0.46310252822259523
vendor,GE,queryseq,2,budget,4187,,,,2.0,0.6948474970123626,0.13136325545680855,0.4766080429271757
vendor,GE,queryseq,2,budget,4187,,,,3.0,0.698551319174097,0.13323553010997272,0.4653682642704255
vendor,GE,queryseq,2,budget,4187,,,,4.0,0.7043936346724803,0.13902353032483622,0.46885511091821935
field,3.0,uniform,0,availability,123,0.7948712204941121,0.7866519308679637,0.730914850561784,,,,
field,3.0,uniform,0,budget,123,,,,1.0,0.8070039893605498,0.5859114840500556,0.7224906065485774
field,3.0,uniform,0,budget,123,,,,2.0,0.7940932978662588,0.5853346878268041,0.746376811594203
field,3.0,uniform,0,budget,123,,,,3.0,0.8049096324820805,0.594279313671006,0.7549651100375738
field,3.0,uniform,0,budget,123,,,,4.0,0.7948712204941121,0.5944719651335523,0.7563070316693505
field,3.0,patient,0,availability,123,0.7841517705613267,0.7797382555641494,0.7326167914914938,,,,
field,3.0,patient,0,budget,123,,,,1.0,0.7590005280458815,0.5173812115735112,0.7412775093934514
field,3.0,patient,0,budget,123,,,,2.0,0.757174322615611,0.5428171320279468,0.7490291262135922
field,3.0,patient,0,budget,123,,,,3.0,0.7853488490054636,0.5801640242516292,0.7474503488996243
field,3.0,patient,0,budget,123,,,,4.0,0.7978575339108032,0.5921967272330798,0.7630166398282341
field,3.0,finding,0,availability,123,0.7969113231678526,0.7864111529831225,0.7352744951635161,,,,
field,3.0,finding,0,budget,123,,,,1.0,0.797153697118714,0.5735649999803848,0.7442297369833601
field,3.0,finding,0,budget,123,,,,2.0,0.7885454948596559,0.5729846574720001,0.7512077294685989
field,3.0,finding,0,budget,123,,,,3.0,0.7834855404575158,0.5760786899395918,0.7635534084809448
field,3.0,finding,0,budget,123,,,,4.0,0.7963796688803786,0.5816365827364399,0.764626945786366
field,3.0,label_id,0,availability,123,0.794717366691999,0.7864408168387468,0.735825401056307,,,,
field,3.0,label_id,0,budget,123,,,,1.0,0.7603908080907429,0.5258639272982618,0.7466451959205582
field,3.0,label_id,0,budget,123,,,,2.0,0.7781001878389285,0.5577586229475711,0.7667740203972088
field,3.0,label_id,0,budget,123,,,,3.0,0.7845618832524922,0.5821041900745081,0.7587224906065485
field,3.0,label_id,0,budget,123,,,,4.0,0.796358514438047,0.5877057172876016,0.7632850241545893
field,3.0,queryseq,0,availability,123,0.7952866417878406,0.7871048485571492,0.7341642985933717,,,,
field,3.0,queryseq,0,budget,123,,,,1.0,0.7634349554647629,0.5408753463049936,0.7356414385399892
field,3.0,queryseq,0,budget,123,,,,2.0,0.7849944678936422,0.5437696826951971,0.7463768115942029
field,3.0,queryseq,0,budget,123,,,,3.0,0.7906085194665207,0.5815655060447508,0.7576489533011271
field,3.0,queryseq,0,budget,123,,,,4.0,0.7946964768119266,0.5816685739561288,0.7597960279119699
field,3.0,uniform,1,availability,123,0.7987384110003889,0.7876559698467371,0.7399051942349364,,,,
