subset,k,finding,n_pos,auroc_mean,auroc_sd_seed,ci_lo,ci_hi
T1ax+T2cor,2,Lipoma of brain,34,0.5777339777403933,0.015633650740480856,0.4562227276139374,0.6307446750605918
T1ax+T2cor,2,Glioma,35,0.8466075708783958,0.0014736511903322782,0.7632132047976234,0.9046331477533708
T1ax+T2cor,2,Pituitary adenoma,57,0.6902731332580743,0.031699985924651584,0.6474088698077772,0.7653891040868541
T1ax+FLAIRax,2,Cerebral infarction,339,0.8379501184249437,0.006597306420020765,0.8070225919874106,0.8512556196328491
T1ax+FLAIRax,2,Cerebral hemorrhage,92,0.7392586580086581,0.008100119190564898,0.6705580032416574,0.7894215937605538
T1ax+FLAIRax,2,Metastatic malignant neoplasm to brain,50,0.8210996063204444,0.014027586183341342,0.7392082580130958,0.8673724933568854
T1ax+FLAIRax,2,Intracranial meningioma,148,0.71239818585709,0.0037095798054112544,0.6711103086956537,0.7574845849898152
T1ax+FLAIRax,2,Demyelinating disease of central nervous system,294,0.8040449469109313,0.0014165182370781948,0.7752637672509378,0.8336478589743217
T1ax+FLAIRax,2,Herniation of nucleus pulposus,29,0.7041146510650028,0.009754857296156704,0.5980616833685228,0.7900746509529037
T1ax+FLAIRax,2,Spinal cord compression,22,0.5229975297771907,0.027887353535642097,0.3234595636149509,0.6518628524956489
T1ax+FLAIRax,2,Lacunar infarct,189,0.8520589815280153,0.0011517278884030267,0.8249102679567214,0.879200355076441
T1ax+FLAIRax,2,Silent micro-hemorrhage of brain,78,0.8355802666245346,0.005578344081958904,0.7992340557265739,0.8781049486195726
T1ax+FLAIRax,2,Cavernous hemangioma,67,0.6483969379509903,0.010006632832834088,0.5830382180192246,0.7093500363887982
T1ax+FLAIRax,2,Subdural intracranial hemorrhage,26,0.8153120562090367,0.03333130547162115,0.6635864946007421,0.8831431205982717
T1ax+FLAIRax,2,Gliosis,3854,0.8005338654210458,0.0005135010703196999,0.7925651663997869,0.8084989639223483
T1ax+FLAIRax,2,Cerebral atrophy,2012,0.9487871011112811,0.0006899792828229641,0.9438246070091679,0.9534586239278102
T1ax+FLAIRax,2,Encephalomalacia,248,0.8183575587048685,0.0023395130454093144,0.7886396274088785,0.8475629697290453
T1ax+FLAIRax,2,Arachnoid cyst,572,0.6860161024223524,0.0049545353933985545,0.6705441322965231,0.7133121110061266
T1ax+FLAIRax,2,Empty sella syndrome,670,0.7729310143203247,0.0005973290874479949,0.7558705102197638,0.7938447254191917
T1ax+FLAIRax,2,Intracranial aneurysm,32,0.6231632000538503,0.025751255385828193,0.5448588762333318,0.7456202783175683
T1ax+FLAIRax,2,Chiari malformation,62,0.8316279221627269,0.008559590788167313,0.792914000531608,0.8940808593689745
T1ax+FLAIRax,2,Cyst of pineal gland,244,0.679114662484776,0.005502471195082983,0.6488436346101905,0.7057695762873779
T1ax+FLAIRax,2,Rathke's pouch cyst,47,0.7490250736321062,0.014564320788259071,0.6834387441881928,0.8028345318835242
T1ax+FLAIRax,2,Cerebral edema,187,0.8452628777854327,0.007243237298520895,0.8078508127255433,0.8817905941955861
T1ax+FLAIRax,2,Spinal stenosis,26,0.7651018312652416,0.018151848715279088,0.6878372130897329,0.8441848141119914
T1ax+FLAIRax,2,Mastoiditis,281,0.7234698061386604,0.0036809734149911176,0.6886711817581276,0.7490806903865411
T1ax+FLAIRax,2,Chronic mastoiditis,360,0.7605614482305073,0.0020793703715037606,0.7351986937070286,0.7863631377574386
T1ax+FLAIRax,2,Ventriculomegaly,1204,0.9156947225838529,0.0018790227553703044,0.9046550483925728,0.9242386036683723
T1ax+FLAIRax,2,Cerebellar degeneration,318,0.8640204491788467,0.00304973525722604,0.8459371123185253,0.885729677019166
T1ax+FLAIRax,2,Mega cisterna magna,225,0.7900173530386052,0.006951415392230165,0.7656525319358255,0.8283918141199692
T1ax+FLAIRax,2,Structure of cave of septum pellucidum,238,0.7059900352452465,0.012944519788595515,0.6736285539600719,0.7447524120537338
T1ax+FLAIRax,2,Hyperostosis of skull,55,0.8824207111169966,0.013929688731522633,0.8184965607106081,0.9174999629226088
T1ax+FLAIRax,2,Choroid plexus cyst,57,0.632195455588925,0.016658532874004126,0.5461346139939899,0.6797997537345363
T1ax+FLAIRax,2,Lipoma of brain,34,0.6419125171477543,0.014919870969383513,0.5529912235627731,0.684116816704754
T1ax+FLAIRax,2,Glioma,35,0.8449478102625069,0.016569444053768145,0.776581486970577,0.8946178816334661
T1ax+FLAIRax,2,Pituitary adenoma,57,0.69253965887334,0.029296069961973915,0.640717903300377,0.790540259831047
T1ax+T2ax,2,Cerebral infarction,339,0.8202082448129172,0.004334800276260789,0.7875408975518748,0.83539046893817
T1ax+T2ax,2,Cerebral hemorrhage,92,0.74374485342556,0.015138625247151694,0.6975187526274929,0.8011739315345302
T1ax+T2ax,2,Metastatic malignant neoplasm to brain,50,0.7205762282262849,0.020011200859068608,0.6097802776036245,0.7884947964810286
T1ax+T2ax,2,Intracranial meningioma,148,0.6895920198574309,0.0040100410841298305,0.6411439770065628,0.726343350515811
T1ax+T2ax,2,Demyelinating disease of central nervous system,294,0.7810747228968058,0.005164184319315558,0.7532669613929198,0.8080354413660192
T1ax+T2ax,2,Herniation of nucleus pulposus,29,0.6438303903850384,0.01088112481551921,0.5364321723762686,0.744657253258652
T1ax+T2ax,2,Spinal cord compression,22,0.6486743952845647,0.019937043397467605,0.4861992893628379,0.7697346036173607
T1ax+T2ax,2,Lacunar infarct,189,0.8544092648649632,0.005920487037914998,0.8229429483740048,0.8822743723966947
T1ax+T2ax,2,Silent micro-hemorrhage of brain,78,0.8608491710080814,0.00863624577520357,0.8360348095508096,0.9066894809836737
T1ax+T2ax,2,Cavernous hemangioma,67,0.6375199740463336,0.010930247963510872,0.5432243653869174,0.6973585031070137
T1ax+T2ax,2,Subdural intracranial hemorrhage,26,0.7836406488715548,0.019763495717480314,0.6479255967099322,0.8861982506830592
T1ax+T2ax,2,Gliosis,3854,0.7961271034821301,0.0009762571982529452,0.7869871705918653,0.8045043790573404
T1ax+T2ax,2,Cerebral atrophy,2012,0.9491977223199267,0.0004929888042999503,0.9437214802077412,0.9540012930079264
T1ax+T2ax,2,Encephalomalacia,248,0.7959103055729404,0.0066066207007068065,0.7588548661507105,0.8145111951152061
T1ax+T2ax,2,Arachnoid cyst,572,0.6738277312496063,0.002383668231782713,0.6516092616453802,0.6946805779281373
T1ax+T2ax,2,Empty sella syndrome,670,0.7822039945054154,0.004159209914680941,0.7623054872198375,0.7956537996704232
T1ax+T2ax,2,Intracranial aneurysm,32,0.5958901285675821,0.008049111646058559,0.4922325095636986,0.6962350483337384
T1ax+T2ax,2,Chiari malformation,62,0.8344438640024379,0.00890510421414815,0.8029114913126867,0.8941555633305787
T1ax+T2ax,2,Cyst of pineal gland,244,0.6910866830672946,0.009862496830686743,0.6474123777065598,0.7106788830244262
T1ax+T2ax,2,Rathke's pouch cyst,47,0.7610204391828915,0.010149649321973962,0.7085984135697454,0.805828025996423
T1ax+T2ax,2,Cerebral edema,187,0.8242390706050035,0.005696760719071856,0.7840251525618634,0.8721066898670697
T1ax+T2ax,2,Spinal stenosis,26,0.810173914303577,0.020131473092290988,0.7308916053855818,0.8788154935924494
T1ax+T2ax,2,Mastoiditis,281,0.7458657383273328,0.005466723431383797,0.7142875245458521,0.7781331237753818
