n_candidates,perm,optimism,observed
8,78,0.024027047577966254,0.012619147832049094
8,79,0.024184986895281924,0.012619147832049094
8,80,0.019046946028724254,0.012619147832049094
8,81,0.016858723096612405,0.012619147832049094
8,82,0.020942923479919773,0.012619147832049094
8,83,0.02251903757212892,0.012619147832049094
8,84,0.02641280949453978,0.012619147832049094
8,85,0.024633350112804597,0.012619147832049094
8,86,0.02199973597088445,0.012619147832049094
8,87,0.02133923294193929,0.012619147832049094
8,88,0.02508353987630685,0.012619147832049094
8,89,0.02613115028603291,0.012619147832049094
8,90,0.0234302931205998,0.012619147832049094
8,91,0.02282519329952387,0.012619147832049094
8,92,0.025204394753124804,0.012619147832049094
8,93,0.020972136919409023,0.012619147832049094
8,94,0.023969175492757067,0.012619147832049094
8,95,0.024578731542853338,0.012619147832049094
8,96,0.01896022838939293,0.012619147832049094
8,97,0.0212067569701212,0.012619147832049094
8,98,0.024935293675872217,0.012619147832049094
8,99,0.02469106125581827,0.012619147832049094
15,0,0.028637569946417973,0.01492569780741948
15,1,0.028284311139105456,0.01492569780741948
15,2,0.028238982735561913,0.01492569780741948
15,3,0.027701116920916258,0.01492569780741948
15,4,0.0256410653693957,0.01492569780741948
15,5,0.02894131291715224,0.01492569780741948
15,6,0.028625975518161373,0.01492569780741948
15,7,0.02776940937862271,0.01492569780741948
15,8,0.02797105472983774,0.01492569780741948
15,9,0.030395918414068968,0.01492569780741948
15,10,0.025522284758853098,0.01492569780741948
15,11,0.02752024928248109,0.01492569780741948
15,12,0.026782105676879553,0.01492569780741948
15,13,0.03160666980059279,0.01492569780741948
15,14,0.034183117072951186,0.01492569780741948
15,15,0.027841813087625678,0.01492569780741948
15,16,0.022785672643817922,0.01492569780741948
15,17,0.0285477629983229,0.01492569780741948
15,18,0.03116446099179554,0.01492569780741948
15,19,0.03042610548609892,0.01492569780741948
15,20,0.025501938313262307,0.01492569780741948
15,21,0.036698499984449906,0.01492569780741948
15,22,0.03145779102500085,0.01492569780741948
15,23,0.029223809287946934,0.01492569780741948
15,24,0.025934907441262367,0.01492569780741948
15,25,0.028932905413427135,0.01492569780741948
15,26,0.03801633047901348,0.01492569780741948
15,27,0.023157448020179938,0.01492569780741948
15,28,0.026537903443395128,0.01492569780741948
15,29,0.028000232721475116,0.01492569780741948
15,30,0.032679721819096175,0.01492569780741948
15,31,0.026744389406010982,0.01492569780741948
15,32,0.04164793150077073,0.01492569780741948
15,33,0.025188450098605486,0.01492569780741948
15,34,0.030663457587181475,0.01492569780741948
15,35,0.03599668193823702,0.01492569780741948
15,36,0.029836331402838978,0.01492569780741948
15,37,0.026892468081938237,0.01492569780741948
15,38,0.030909988511649,0.01492569780741948
15,39,0.028587737548430803,0.01492569780741948
15,40,0.028412556262219446,0.01492569780741948
15,41,0.03451909288137367,0.01492569780741948
15,42,0.03188134196294201,0.01492569780741948
15,43,0.026884127436066052,0.01492569780741948
15,44,0.027542630043684735,0.01492569780741948
15,45,0.028208654907776853,0.01492569780741948
15,46,0.03302313465257645,0.01492569780741948
15,47,0.03378788899842877,0.01492569780741948
15,48,0.027051200903145278,0.01492569780741948
15,49,0.026273911253848647,0.01492569780741948
15,50,0.0324111468844368,0.01492569780741948
15,51,0.03211198657589465,0.01492569780741948
15,52,0.02855057982410969,0.01492569780741948
15,53,0.02478647467818773,0.01492569780741948
15,54,0.027338788352151866,0.01492569780741948
15,55,0.026385367308813745,0.01492569780741948
15,56,0.023126898799931572,0.01492569780741948
15,57,0.03275216851749552,0.01492569780741948
15,58,0.02221307470026901,0.01492569780741948
15,59,0.027751478963451093,0.01492569780741948
15,60,0.03280541140723581,0.01492569780741948
15,61,0.03290281335666767,0.01492569780741948
15,62,0.0260615657814518,0.01492569780741948
15,63,0.029578619400161932,0.01492569780741948
15,64,0.023679451587848066,0.01492569780741948
15,65,0.024411963206017684,0.01492569780741948
15,66,0.02607580536424725,0.01492569780741948
15,67,0.03092671244495221,0.01492569780741948
15,68,0.030015582060153867,0.01492569780741948
15,69,0.030335926991443163,0.01492569780741948
15,70,0.03548246899289392,0.01492569780741948
15,71,0.028037852714102307,0.01492569780741948
15,72,0.02763640792912192,0.01492569780741948
15,73,0.027635158536620796,0.01492569780741948
15,74,0.030568643038423327,0.01492569780741948
15,75,0.025899865727576188,0.01492569780741948
15,76,0.02914327598884131,0.01492569780741948
15,77,0.026089586615603344,0.01492569780741948
15,78,0.028405021611277392,0.01492569780741948
15,79,0.027857956037732112,0.01492569780741948
15,80,0.03290855998681752,0.01492569780741948
15,81,0.02723240244349323,0.01492569780741948
15,82,0.025477329909548596,0.01492569780741948
15,83,0.02463880584389011,0.01492569780741948
15,84,0.026352102760120455,0.01492569780741948
15,85,0.025212615122208293,0.01492569780741948
15,86,0.02670581759278834,0.01492569780741948
15,87,0.029685397057411966,0.01492569780741948
15,88,0.031139227767210342,0.01492569780741948
15,89,0.031868688025894654,0.01492569780741948
15,90,0.027087310030218026,0.01492569780741948
15,91,0.022969788590457063,0.01492569780741948
15,92,0.024022444395723763,0.01492569780741948
15,93,0.022217510549405683,0.01492569780741948
15,94,0.025214454606005576,0.01492569780741948
15,95,0.03184300616007979,0.01492569780741948
15,96,0.028040234952368848,0.01492569780741948
15,97,0.03065799194853125,0.01492569780741948
15,98,0.024980940535628604,0.01492569780741948
15,99,0.026282769650695093,0.01492569780741948
