C,seed,subset,subset_bits,k,finding,finding_idx,n_pos,n,auroc,auprc
0.1,0,T2ax,0100000,1,Mastoiditis,24,62,2512,0.6584990125082291,0.04532697860603785
0.1,0,T2ax,0100000,1,Chronic mastoiditis,25,25,2512,0.7209489344591878,0.03088835879003405
0.1,0,T2ax,0100000,1,Ventriculomegaly,26,304,2512,0.8861988105453852,0.548617874211667
0.1,0,T2ax,0100000,1,Cerebellar degeneration,27,94,2512,0.7690371856466574,0.13121040862511038
0.1,0,T2ax,0100000,1,Mega cisterna magna,28,20,2512,0.6704654895666131,0.014439161204757998
0.1,0,T2ax,0100000,1,Foraminal Spinal Stenosis,33,25,2512,0.5629272215520708,0.011151717906836311
0.1,0,T1ax,1000000,1,Cerebral infarction,0,161,2512,0.7058553119988586,0.164060829755442
0.1,0,T1ax,1000000,1,Cerebral hemorrhage,1,127,2512,0.7665329569652849,0.19204482161232628
0.1,0,T1ax,1000000,1,Metastatic malignant neoplasm to brain,2,144,2512,0.725245753566066,0.1569914368253201
0.1,0,T1ax,1000000,1,Intracranial meningioma,3,62,2512,0.6672152732060567,0.04524258830745209
0.1,0,T1ax,1000000,1,Demyelinating disease of central nervous system,4,66,2512,0.7798632275328923,0.11557835038123294
0.1,0,T1ax,1000000,1,Herniation of nucleus pulposus,5,42,2512,0.6568440331598226,0.03449971789521093
0.1,0,T1ax,1000000,1,Spinal cord compression,6,23,2512,0.46437367897007703,0.008845961972482181
0.1,0,T1ax,1000000,1,Lacunar infarct,7,86,2512,0.7633869514369525,0.12936200776964366
0.1,0,T1ax,1000000,1,Silent micro-hemorrhage of brain,8,77,2512,0.6080535480946159,0.04268439688952495
0.1,0,T1ax,1000000,1,Gliosis,11,1027,2512,0.7308075890354371,0.6420940210139099
0.1,0,T1ax,1000000,1,Cerebral atrophy,12,324,2512,0.8943973299930034,0.6202451993933193
0.1,0,T1ax,1000000,1,Encephalomalacia,13,84,2512,0.6853034047226799,0.11158926042680523
0.1,0,T1ax,1000000,1,Arachnoid cyst,14,69,2512,0.6326030599108962,0.051004254531320695
0.1,0,T1ax,1000000,1,Empty sella syndrome,15,72,2512,0.6561247723132969,0.04507004726477436
0.1,0,T1ax,1000000,1,Cyst of pineal gland,19,27,2512,0.6289440345778374,0.017401312573412417
0.1,0,T1ax,1000000,1,Cerebral edema,22,197,2512,0.7999166767166241,0.39831412685221024
0.1,0,T1ax,1000000,1,Mastoiditis,24,62,2512,0.5913364055299539,0.04121698843324488
