mode,tau,beta,seed,val,macro_full,macro_avg_subset,macro_worst_subset,macro_k1,worst_k1,macro_k2,worst_k2,gate_mean,gate_spread_over_seq,gate_spread_over_findings,avg_inputs_read
patient,0.1,0.05,1,0.8073784563265679,0.7916850825501985,0.782369061557151,0.7507470146343139,0.7886399996327839,0.6211614307085543,0.7915857677783357,0.6241806065551476,0.0025570590514689684,0.0017255486454814672,3.0267982564780027e-10,0.0
patient,0.1,0.05,2,0.8071554706678477,0.7853093366758358,0.7787171624219664,0.7520130400911498,0.7767323242375275,0.619937440500476,0.7828069633348843,0.6009791921664626,0.0007533269817940891,0.0003999079344794154,6.402842839259293e-11,0.0
patient,0.25,0.0,0,0.8095460331589865,0.7832587377094108,0.7766579077179656,0.750127461839455,0.7828980290052124,0.6094111247110023,0.7827579746887281,0.6136270909832721,0.33279332518577576,0.11319474875926971,2.9802322387695312e-08,1.0185614849187936
patient,0.25,0.0,1,0.8105657377955893,0.7873504151577126,0.7801160837685319,0.7501562306024425,0.7815653212897665,0.5975248198014416,0.7842929632739627,0.6065007479940161,0.32766997814178467,0.12242759764194489,2.9802322387695312e-08,1.0754060324825987
patient,0.25,0.0,2,0.8117401627619408,0.7854396393717985,0.779259683503009,0.7527005641482636,0.780711594163623,0.599483204134367,0.7858413554922873,0.5987760097919217,0.27657589316368103,0.0953347459435463,2.6822089438383045e-08,0.7146171693735499
patient,0.25,0.01,0,0.8067238628777884,0.7831675318250949,0.7756019372192859,0.7466940644794656,0.7840475578580728,0.6013327893376853,0.7859651197811446,0.6016319869441045,0.007410265970975161,0.0033205461222678423,1.1641532182693481e-09,0.0
patient,0.25,0.01,1,0.8085186948506993,0.7896478431411335,0.7823066910950959,0.7521471856398305,0.7858108680380327,0.6137902896776826,0.7847902395749228,0.6196654426764586,0.005489247385412455,0.002265991410240531,4.656612873077393e-10,0.0
patient,0.25,0.01,2,0.8084412942808843,0.7881624827058585,0.7812492804746343,0.7540892037994854,0.786727848877566,0.5967632258941928,0.7897985331814762,0.6096015231878145,0.005306317936629057,0.0025058637838810682,6.519257911286047e-10,0.0
patient,0.25,0.05,0,0.8038935688498896,0.7753635885799369,0.7680177943247208,0.7319380263417617,0.7652562377312834,0.5992656058751531,0.7752432484393214,0.6074799401604787,0.0015648570843040943,0.0009132483974099159,1.1641532182693481e-10,0.0
patient,0.25,0.05,1,0.8073784563265679,0.7916850825501985,0.782369061557151,0.7507470146343139,0.7886399996327839,0.6211614307085543,0.7915857677783357,0.6241806065551476,0.0025570590514689684,0.0017255486454814672,3.0267982564780027e-10,0.0
patient,0.25,0.05,2,0.8071554706678477,0.7853093366758358,0.7787171624219664,0.7520130400911498,0.7767323242375275,0.619937440500476,0.7828069633348843,0.6009791921664626,0.0007533269817940891,0.0003999079344794154,6.402842839259293e-11,0.0
patient,1.0,0.0,0,0.8095460331589865,0.7832587377094108,0.7766579077179656,0.750127461839455,0.7828980290052124,0.6094111247110023,0.7827579746887281,0.6136270909832721,0.33279332518577576,0.11319474875926971,2.9802322387695312e-08,1.0185614849187936
patient,1.0,0.0,1,0.8105657377955893,0.7873504151577126,0.7801160837685319,0.7501562306024425,0.7815653212897665,0.5975248198014416,0.7842929632739627,0.6065007479940161,0.32766997814178467,0.12242759764194489,2.9802322387695312e-08,1.0754060324825987
patient,1.0,0.0,2,0.8117401627619408,0.7854396393717985,0.779259683503009,0.7527005641482636,0.780711594163623,0.599483204134367,0.7858413554922873,0.5987760097919217,0.27657589316368103,0.0953347459435463,2.6822089438383045e-08,0.7146171693735499
patient,1.0,0.01,0,0.8067238628777884,0.7831675318250949,0.7756019372192859,0.7466940644794656,0.7840475578580728,0.6013327893376853,0.7859651197811446,0.6016319869441045,0.007410265970975161,0.0033205461222678423,1.1641532182693481e-09,0.0
patient,1.0,0.01,1,0.8085186948506993,0.7896478431411335,0.7823066910950959,0.7521471856398305,0.7858108680380327,0.6137902896776826,0.7847902395749228,0.6196654426764586,0.005489247385412455,0.002265991410240531,4.656612873077393e-10,0.0
patient,1.0,0.01,2,0.8084412942808843,0.7881624827058585,0.7812492804746343,0.7540892037994854,0.786727848877566,0.5967632258941928,0.7897985331814762,0.6096015231878145,0.005306317936629057,0.0025058637838810682,6.519257911286047e-10,0.0
patient,1.0,0.05,0,0.8038935688498896,0.7753635885799369,0.7680177943247208,0.7319380263417617,0.7652562377312834,0.5992656058751531,0.7752432484393214,0.6074799401604787,0.0015648570843040943,0.0009132483974099159,1.1641532182693481e-10,0.0
patient,1.0,0.05,1,0.8073784563265679,0.7916850825501985,0.782369061557151,0.7507470146343139,0.7886399996327839,0.6211614307085543,0.7915857677783357,0.6241806065551476,0.0025570590514689684,0.0017255486454814672,3.0267982564780027e-10,0.0
patient,1.0,0.05,2,0.8071554706678477,0.7853093366758358,0.7787171624219664,0.7520130400911498,0.7767323242375275,0.619937440500476,0.7828069633348843,0.6009791921664626,0.0007533269817940891,0.0003999079344794154,6.402842839259293e-11,0.0
