finding,n_pos,auroc,auprc,method,seed,axis,subset,k,budget
Ventriculomegaly,64,0.8934641290726817,0.47639640217735646,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
Cerebellar degeneration,39,0.8461538461538461,0.3244590757992449,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
Mega cisterna magna,22,0.6548701298701298,0.06511130535816656,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
Cerebral infarction,26,0.847534044902466,0.20902780835441812,uniform,0,availability,T2ax+SWIax,2,-1
Cerebral hemorrhage,20,0.8573634204275535,0.14870494321659827,uniform,0,availability,T2ax+SWIax,2,-1
Gliosis,284,0.7234270675958867,0.5528644337854363,uniform,0,availability,T2ax+SWIax,2,-1
Cerebral atrophy,102,0.9190531475748194,0.5993796460094463,uniform,0,availability,T2ax+SWIax,2,-1
Arachnoid cyst,43,0.705994264133799,0.09597710140009852,uniform,0,availability,T2ax+SWIax,2,-1
Empty sella syndrome,45,0.6440092479260165,0.09294941387571945,uniform,0,availability,T2ax+SWIax,2,-1
Cyst of pineal gland,21,0.7146820678330786,0.047596612562660026,uniform,0,availability,T2ax+SWIax,2,-1
Cerebral edema,43,0.8961297100831984,0.49636419391491965,uniform,0,availability,T2ax+SWIax,2,-1
Mastoiditis,22,0.624025974025974,0.06394350891690005,uniform,0,availability,T2ax+SWIax,2,-1
Ventriculomegaly,64,0.8846921992481203,0.40389311919290105,uniform,0,availability,T2ax+SWIax,2,-1
Cerebellar degeneration,39,0.845406112720815,0.2811401858117618,uniform,0,availability,T2ax+SWIax,2,-1
Mega cisterna magna,22,0.5838744588744589,0.03805632268345149,uniform,0,availability,T2ax+SWIax,2,-1
Cerebral infarction,26,0.8481321310268679,0.2728413519172221,uniform,0,availability,T2ax+FLAIRsag,2,-1
Cerebral hemorrhage,20,0.8646080760095012,0.18971348395175505,uniform,0,availability,T2ax+FLAIRsag,2,-1
Gliosis,284,0.7407646571470345,0.5720409968365054,uniform,0,availability,T2ax+FLAIRsag,2,-1
Cerebral atrophy,102,0.9361455108359134,0.7021274944684346,uniform,0,availability,T2ax+FLAIRsag,2,-1
Arachnoid cyst,43,0.7226055598148622,0.11005467479587742,uniform,0,availability,T2ax+FLAIRsag,2,-1
Empty sella syndrome,45,0.6344893240854073,0.08239852422592489,uniform,0,availability,T2ax+FLAIRsag,2,-1
Cyst of pineal gland,21,0.7128701659022705,0.04589872882518755,uniform,0,availability,T2ax+FLAIRsag,2,-1
Cerebral edema,43,0.8998495045006674,0.46658575106168265,uniform,0,availability,T2ax+FLAIRsag,2,-1
Mastoiditis,22,0.700974025974026,0.07635217836038652,uniform,0,availability,T2ax+FLAIRsag,2,-1
Ventriculomegaly,64,0.8972626879699249,0.4872272899369354,uniform,0,availability,T2ax+FLAIRsag,2,-1
Cerebellar degeneration,39,0.8416051344362401,0.33398619831897114,uniform,0,availability,T2ax+FLAIRsag,2,-1
Mega cisterna magna,22,0.5756493506493506,0.04762696270267425,uniform,0,availability,T2ax+FLAIRsag,2,-1
Cerebral infarction,26,0.8484541774015458,0.2781726597336622,uniform,0,availability,T2ax+FLAIRax,2,-1
